c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	1.12473891997	[]	[]	[]	[]
0	1	[]	[]	[]	[]	2.4728225817	[]	[]	[]	[]
0	2	[]	[]	[]	[]	2.23084444734	[]	[]	[]	[]
0	3	[]	[]	[]	[]	4.85139402621	[]	[]	[]	[]
1	0	[]	[]	[]	2.36514468573	1.97837421304	2.24922249515	[]	[]	[]
1	1	[]	[]	[]	1.59428467699	1.5266839849	2.33827303183	[]	[]	[]
1	2	[]	[]	[]	2.79616043179	6.88368137322	4.44059201203	[]	[]	[]
1	3	[]	[]	[]	3.43995219029	1.93195440019	1.72639118406	[]	[]	[]
2	0	[]	[]	1.33480574692	2.15082741112	2.14914012023	1.19103619426	1.44946169679	[]	[]
2	1	[]	[]	2.43042602837	2.14460596045	1.6876972969	1.55525649361	2.2807748267	[]	[]
2	2	[]	[]	2.61886078693	2.17434835615	1.85126012971	1.8629207369	1.61292635908	[]	[]
2	3	[]	[]	4.54278390972	4.094856083	2.19415421754	3.15090451891	2.75067626541	[]	[]
3	0	[]	1.43698119191	1.23304563732	0.681430386244	0.506398328074	0.989149347471	1.00962607073	0.868451034906	[]
3	1	[]	1.32668599274	1.26896074314	0.883274043091	0.381079267956	0.930799093624	0.774932274772	2.23115776042	[]
3	2	[]	2.10763252369	2.78537920356	1.6070238531	2.30301864423	1.84882091654	1.60479318571	2.2135191813	[]
3	3	[]	1.6062495108	1.58557665414	1.13131218736	1.02269396893	0.906228939986	1.53560966218	2.69617072039	[]
4	0	2.74058880451	3.52034840523	2.59923866441	1.45205782084	0.0	0.679029555199	0.721492338989	0.508873900739	0.402024777284
4	1	2.43454214793	2.11519212494	0.955765450582	0.0956880873111	0.375991597782	0.575419032624	0.628092376671	1.06548443123	2.18387823145
4	2	2.08288124237	1.21513888953	1.32641754548	0.996209220999	1.16293499584	1.18007565419	1.73868309847	3.23461955538	3.3742563248
4	3	0.686173463406	0.790375403562	1.90773777659	1.712828238	2.74044044629	3.91804976954	4.61104800147	3.44667890694	2.08644525856
5	0	[]	2.50369380225	2.45026514377	1.68689164091	0.678820557893	0.555168116007	0.289951715038	0.210029387706	[]
5	1	[]	1.75737763959	0.826022145585	-0.143407313217	-0.283482874937	-0.339764963279	-0.0875497459499	0.206617115216	[]
5	2	[]	0.39304701571	1.64649394731	0.556484925532	1.35678893415	1.20499992201	1.53722596742	1.96872654369	[]
5	3	[]	2.64428971015	2.30835663434	2.53761215025	2.87746290117	4.3279963705	6.62094498419	2.47829063924	[]
6	0	[]	[]	1.90217195345	1.85295548968	1.91175087132	1.69037479939	1.41415412391	[]	[]
6	1	[]	[]	1.65208904509	1.38652318908	0.3265130869	0.141839907547	-0.337476633752	[]	[]
6	2	[]	[]	1.73540238639	2.94476481101	4.24674217622	4.32965369039	3.34885848479	[]	[]
6	3	[]	[]	4.59789730657	4.90371873136	3.38294908458	5.78180541705	2.91034678607	[]	[]
7	0	[]	[]	[]	1.78256277652	2.04722102136	2.09683524064	[]	[]	[]
7	1	[]	[]	[]	1.94595187105	1.74220373143	1.16667415464	[]	[]	[]
7	2	[]	[]	[]	2.06057729791	2.23186486778	1.86930516486	[]	[]	[]
7	3	[]	[]	[]	3.12082760818	2.78264957817	1.98174556211	[]	[]	[]
8	0	[]	[]	[]	[]	1.86264643226	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.67222249091	[]	[]	[]	[]
8	2	[]	[]	[]	[]	3.4211058409	[]	[]	[]	[]
8	3	[]	[]	[]	[]	2.04732921598	[]	[]	[]	[]
