a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	3.95194544402	[]	[]	[]	[]
0	1	[]	[]	[]	[]	2.81111203937	[]	[]	[]	[]
0	2	[]	[]	[]	[]	2.91666566545	[]	[]	[]	[]
0	3	[]	[]	[]	[]	3.63071733554	[]	[]	[]	[]
1	0	[]	[]	[]	1.01916662308	2.79981563564	2.30032866072	[]	[]	[]
1	1	[]	[]	[]	2.71635647152	1.57949645709	1.83438391893	[]	[]	[]
1	2	[]	[]	[]	2.78760602647	1.52438259616	2.31371542968	[]	[]	[]
1	3	[]	[]	[]	0.951665297786	3.06292924377	2.24497579656	[]	[]	[]
2	0	[]	[]	-0.766280267517	0.960082203844	2.08936166609	1.98998859178	1.97520179436	[]	[]
2	1	[]	[]	2.0940312567	0.0745326807184	1.21139243382	1.05406908251	1.58353419388	[]	[]
2	2	[]	[]	2.34576200317	-0.473845525827	1.4474544955	0.911990513532	1.53957612396	[]	[]
2	3	[]	[]	0.473458338532	1.17037680342	0.798577867589	2.31005853872	2.06308574597	[]	[]
3	0	[]	14.224663093	10.079237273	5.8927107753	1.8013281135	1.79034322436	2.00478335945	1.98159848688	[]
3	1	[]	6.33660655608	6.68581902654	6.27149301678	1.0169465235	1.4738222665	1.40648366775	2.44700382481	[]
3	2	[]	2.25930272306	1.8404537936	0.636817209615	0.902133417741	0.934448976907	0.907666012574	1.47788394543	[]
3	3	[]	0.985726795651	1.44812783536	0.908322436875	-0.0939415992563	1.76850684828	2.01552189119	2.03738781555	[]
4	0	1.12473891997	1.97837421304	2.14914012023	0.506398328074	0.0	0.678820557893	1.91175087132	2.04722102136	1.86264643226
4	1	2.4728225817	1.5266839849	1.6876972969	0.381079267956	0.375991597782	-0.283482874937	0.3265130869	1.74220373143	1.67222249091
4	2	2.23084444734	6.88368137322	1.85126012971	2.30301864423	1.16293499584	1.35678893415	4.24674217622	2.23186486778	3.4211058409
4	3	4.85139402621	1.93195440019	2.19415421754	1.02269396893	2.74044044629	2.87746290117	3.38294908458	2.78264957817	2.04732921598
5	0	[]	20.1238427089	13.6347727273	7.4809810013	1.96138063063	1.88379289293	2.1788483421	2.05075898829	[]
5	1	[]	8.3165432787	9.06398452656	8.31761918048	1.04179473926	1.65979398461	1.40505839257	3.13992095806	[]
5	2	[]	2.29867349891	1.9239295763	0.848481317866	0.960025139588	1.00801104523	1.15482566432	1.45967257143	[]
5	3	[]	1.12099109008	1.49605892362	1.02700636721	-0.165560714995	1.91762373403	2.08654862407	2.03969739615	[]
6	0	[]	[]	-0.782469922828	0.952811045646	2.04213993642	1.97611261783	1.9660260016	[]	[]
6	1	[]	[]	2.10946397019	0.0643334943769	1.20176618854	1.04522004097	1.57724321812	[]	[]
6	2	[]	[]	2.35339663253	-0.889346765051	1.43939125868	0.680805704301	1.47991960155	[]	[]
6	3	[]	[]	0.38043873744	1.18207759141	0.282619834406	2.31585872553	2.0625048988	[]	[]
7	0	[]	[]	[]	1.01470794638	2.7757312944	2.28903413433	[]	[]	[]
7	1	[]	[]	[]	2.69408060452	1.57467784019	1.82426226259	[]	[]	[]
7	2	[]	[]	[]	2.79485659238	1.5282049133	2.32089143564	[]	[]	[]
7	3	[]	[]	[]	0.955680047921	3.06777694604	2.24825868924	[]	[]	[]
8	0	[]	[]	[]	[]	3.94923097182	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.80281305912	[]	[]	[]	[]
8	2	[]	[]	[]	[]	2.91102572976	[]	[]	[]	[]
8	3	[]	[]	[]	[]	3.63030972652	[]	[]	[]	[]
