a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.37459071853	[]	[]	[]	[]
1	1	[]	[]	[]	[]	2.63832883967	[]	[]	[]	[]
1	2	[]	[]	[]	[]	1.7848969572	[]	[]	[]	[]
1	3	[]	[]	[]	[]	2.00693402378	[]	[]	[]	[]
2	0	[]	[]	[]	0.447530901009	1.26315069173	1.78284882866	[]	[]	[]
2	1	[]	[]	[]	2.31608085717	1.31556925045	1.17537135928	[]	[]	[]
2	2	[]	[]	[]	0.691350255414	1.74173103257	1.20826029804	[]	[]	[]
2	3	[]	[]	[]	1.33219642366	-0.597528168305	1.95580483512	[]	[]	[]
3	0	[]	[]	13.0158241992	1.82765815802	1.29576126461	1.85308464096	2.34041962442	[]	[]
3	1	[]	[]	3.59105913757	4.86583815578	1.62851883253	0.889395831391	1.15307026245	[]	[]
3	2	[]	[]	1.39433086682	1.10141686074	1.19332477269	1.35559691591	1.45997027325	[]	[]
3	3	[]	[]	1.26030636888	1.17904897232	-2.41620917007	2.15212673956	1.91509422922	[]	[]
4	0	[]	2.24922249515	1.19103619426	0.989149347471	0.679029555199	0.555168116007	1.69037479939	2.09683524064	[]
4	1	[]	2.33827303183	1.55525649361	0.930799093624	0.575419032624	-0.339764963279	0.141839907547	1.16667415464	[]
4	2	[]	4.44059201203	1.8629207369	1.84882091654	1.18007565419	1.20499992201	4.32965369039	1.86930516486	[]
4	3	[]	1.72639118406	3.15090451891	0.906228939986	3.91804976954	4.3279963705	5.78180541705	1.98174556211	[]
5	0	[]	[]	17.9147835302	1.99350790873	1.25520527345	1.81524837179	2.81707561069	[]	[]
5	1	[]	[]	4.08457842743	6.40890474623	1.99515386059	0.884731274189	1.09049927804	[]	[]
5	2	[]	[]	1.49679055683	1.21912125638	1.21607455988	1.41616579601	1.59678472435	[]	[]
5	3	[]	[]	1.31614666805	1.24884839063	-2.49813962863	2.31366968828	1.97211659575	[]	[]
6	0	[]	[]	[]	0.440456802394	1.24060631479	1.77222688858	[]	[]	[]
6	1	[]	[]	[]	2.31631741049	1.31177556849	1.16668262425	[]	[]	[]
6	2	[]	[]	[]	0.582702938776	1.6755710643	1.08607791611	[]	[]	[]
6	3	[]	[]	[]	1.33866442943	-1.65268531381	1.92836133232	[]	[]	[]
7	0	[]	[]	[]	[]	2.35872452344	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.63401886462	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.79078898187	[]	[]	[]	[]
7	3	[]	[]	[]	[]	2.0111193263	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
