c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	14.224663093	[]	[]	[]	[]
1	1	[]	[]	[]	[]	6.33660655608	[]	[]	[]	[]
1	2	[]	[]	[]	[]	2.25930272306	[]	[]	[]	[]
1	3	[]	[]	[]	[]	0.985726795651	[]	[]	[]	[]
2	0	[]	[]	[]	17.70432179	10.079237273	13.0158241992	[]	[]	[]
2	1	[]	[]	[]	14.6941055974	6.68581902654	3.59105913757	[]	[]	[]
2	2	[]	[]	[]	2.24657494055	1.8404537936	1.39433086682	[]	[]	[]
2	3	[]	[]	[]	1.85664965594	1.44812783536	1.26030636888	[]	[]	[]
3	0	[]	[]	1.53174446375	5.35294092818	5.8927107753	1.82765815802	4.25123945452	[]	[]
3	1	[]	[]	12.6078624507	7.43117541915	6.27149301678	4.86583815578	2.17562815434	[]	[]
3	2	[]	[]	1.88334332745	-0.120246880932	0.636817209615	1.10141686074	1.39212776572	[]	[]
3	3	[]	[]	-0.25367054013	1.0217798596	0.908322436875	1.17904897232	0.921171113386	[]	[]
4	0	[]	8.00577393853	9.61439119375	5.90035001037	1.8013281135	1.29576126461	1.12886646775	1.02882258604	[]
4	1	[]	2.17444969569	2.05939913789	1.22743493362	1.0169465235	1.62851883253	1.49415074282	2.17332629554	[]
4	2	[]	1.6080060148	0.683148590342	0.941571144044	0.902133417741	1.19332477269	0.784491152121	0.759626338412	[]
4	3	[]	0.883550405736	0.0653866127065	0.745895740035	-0.0939415992563	-2.41620917007	-3.30001787529	0.676751562276	[]
5	0	[]	[]	2.89086550004	2.26156498976	1.79034322436	1.85308464096	1.48735402893	[]	[]
5	1	[]	[]	1.96680738275	1.70735245364	1.4738222665	0.889395831391	1.03580726083	[]	[]
5	2	[]	[]	0.788306659451	0.878058476338	0.934448976907	1.35559691591	1.5537557092	[]	[]
5	3	[]	[]	1.09854036722	1.12857853501	1.76850684828	2.15212673956	1.96840477363	[]	[]
6	0	[]	[]	[]	1.85641029581	2.00478335945	2.34041962442	[]	[]	[]
6	1	[]	[]	[]	1.82082890623	1.40648366775	1.15307026245	[]	[]	[]
6	2	[]	[]	[]	0.21463649065	0.907666012574	1.45997027325	[]	[]	[]
6	3	[]	[]	[]	2.07897115819	2.01552189119	1.91509422922	[]	[]	[]
7	0	[]	[]	[]	[]	1.98159848688	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.44700382481	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.47788394543	[]	[]	[]	[]
7	3	[]	[]	[]	[]	2.03738781555	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
