c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	20.1238427089	[]	[]	[]	[]
1	1	[]	[]	[]	[]	8.3165432787	[]	[]	[]	[]
1	2	[]	[]	[]	[]	2.29867349891	[]	[]	[]	[]
1	3	[]	[]	[]	[]	1.12099109008	[]	[]	[]	[]
2	0	[]	[]	[]	24.5612408503	13.6347727273	17.9147835302	[]	[]	[]
2	1	[]	[]	[]	20.5580035774	9.06398452656	4.08457842743	[]	[]	[]
2	2	[]	[]	[]	2.32817590137	1.9239295763	1.49679055683	[]	[]	[]
2	3	[]	[]	[]	1.99297833344	1.49605892362	1.31614666805	[]	[]	[]
3	0	[]	[]	1.51642333706	6.76402216845	7.4809810013	1.99350790873	5.52742896223	[]	[]
3	1	[]	[]	17.1566611182	9.79997772033	8.31761918048	6.40890474623	2.15973703837	[]	[]
3	2	[]	[]	1.97607498654	0.174628544664	0.848481317866	1.21912125638	1.45801896644	[]	[]
3	3	[]	[]	-0.00399966416477	1.1254137944	1.02700636721	1.24884839063	0.877113009564	[]	[]
4	0	[]	11.1269911604	13.7091680024	8.05181078694	1.96138063063	1.25520527345	1.12726686833	1.08341608977	[]
4	1	[]	2.45483647607	2.22130782059	1.21297737701	1.04179473926	1.99515386059	1.67349742527	2.16132581253	[]
4	2	[]	1.66749497815	0.874071382285	1.06588782979	0.960025139588	1.21607455988	0.718709636217	0.670479995927	[]
4	3	[]	0.904349650675	-0.02596755872	0.718640837401	-0.165560714995	-2.49813962863	-3.37010141382	0.597822018216	[]
5	0	[]	[]	3.70102835269	2.57216361628	1.88379289293	1.81524837179	1.45215135072	[]	[]
5	1	[]	[]	2.30431686744	1.68795507446	1.65979398461	0.884731274189	1.13563630754	[]	[]
5	2	[]	[]	0.914964565318	0.91996349505	1.00801104523	1.41616579601	1.57633020145	[]	[]
5	3	[]	[]	1.32170936931	1.34408800003	1.91762373403	2.31366968828	2.00292709635	[]	[]
6	0	[]	[]	[]	1.92908301511	2.1788483421	2.81707561069	[]	[]	[]
6	1	[]	[]	[]	2.09393868148	1.40505839257	1.09049927804	[]	[]	[]
6	2	[]	[]	[]	0.525499012352	1.15482566432	1.59678472435	[]	[]	[]
6	3	[]	[]	[]	2.12385896454	2.08654862407	1.97211659575	[]	[]	[]
7	0	[]	[]	[]	[]	2.05075898829	[]	[]	[]	[]
7	1	[]	[]	[]	[]	3.13992095806	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.45967257143	[]	[]	[]	[]
7	3	[]	[]	[]	[]	2.03969739615	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
