b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	2.74058880451	[]	[]	[]	[]
0	1	[]	[]	[]	[]	2.43454214793	[]	[]	[]	[]
0	2	[]	[]	[]	[]	2.08288124237	[]	[]	[]	[]
0	3	[]	[]	[]	[]	0.686173463406	[]	[]	[]	[]
1	0	[]	[]	[]	8.00577393853	3.52034840523	11.1269911604	[]	[]	[]
1	1	[]	[]	[]	2.17444969569	2.11519212494	2.45483647607	[]	[]	[]
1	2	[]	[]	[]	1.6080060148	1.21513888953	1.66749497815	[]	[]	[]
1	3	[]	[]	[]	0.883550405736	0.790375403562	0.904349650675	[]	[]	[]
2	0	[]	[]	1.82384016148	9.61439119375	2.59923866441	13.7091680024	1.75100474436	[]	[]
2	1	[]	[]	1.84807641591	2.05939913789	0.955765450582	2.22130782059	1.82656619965	[]	[]
2	2	[]	[]	1.18610611488	0.683148590342	1.32641754548	0.874071382285	1.08432957287	[]	[]
2	3	[]	[]	0.87650983973	0.0653866127065	1.90773777659	-0.02596755872	0.630360354997	[]	[]
3	0	[]	2.22056500345	2.46100185523	5.90035001037	1.45205782084	8.05181078694	2.38826480011	2.20403677968	[]
3	1	[]	1.80841248415	1.79808462634	1.22743493362	0.0956880873111	1.21297737701	1.77501552812	1.79973146502	[]
3	2	[]	3.0173206427	1.2399239221	0.941571144044	0.996209220999	1.06588782979	1.23693879441	3.02679065478	[]
3	3	[]	3.39320118649	-0.781927330712	0.745895740035	1.712828238	0.718640837401	-1.60586661446	3.40108842206	[]
4	0	3.95194544402	2.79981563564	2.08936166609	1.8013281135	0.0	1.96138063063	2.04213993642	2.7757312944	3.94923097182
4	1	2.81111203937	1.57949645709	1.21139243382	1.0169465235	0.375991597782	1.04179473926	1.20176618854	1.57467784019	2.80281305912
4	2	2.91666566545	1.52438259616	1.4474544955	0.902133417741	1.16293499584	0.960025139588	1.43939125868	1.5282049133	2.91102572976
4	3	3.63071733554	3.06292924377	0.798577867589	-0.0939415992563	2.74044044629	-0.165560714995	0.282619834406	3.06777694604	3.63030972652
5	0	[]	2.37459071853	1.26315069173	1.29576126461	0.679029555199	1.25520527345	1.24060631479	2.35872452344	[]
5	1	[]	2.63832883967	1.31556925045	1.62851883253	0.575419032624	1.99515386059	1.31177556849	2.63401886462	[]
5	2	[]	1.7848969572	1.74173103257	1.19332477269	1.18007565419	1.21607455988	1.6755710643	1.79078898187	[]
5	3	[]	2.00693402378	-0.597528168305	-2.41620917007	3.91804976954	-2.49813962863	-1.65268531381	2.0111193263	[]
6	0	[]	[]	1.30993124027	1.12886646775	0.721492338989	1.12726686833	1.29369560645	[]	[]
6	1	[]	[]	2.2628534887	1.49415074282	0.628092376671	1.67349742527	2.23310765307	[]	[]
6	2	[]	[]	1.69674838565	0.784491152121	1.73868309847	0.718709636217	1.59035470007	[]	[]
6	3	[]	[]	0.787538191021	-3.30001787529	4.61104800147	-3.37010141382	0.412022978088	[]	[]
7	0	[]	[]	[]	1.02882258604	0.508873900739	1.08341608977	[]	[]	[]
7	1	[]	[]	[]	2.17332629554	1.06548443123	2.16132581253	[]	[]	[]
7	2	[]	[]	[]	0.759626338412	3.23461955538	0.670479995927	[]	[]	[]
7	3	[]	[]	[]	0.676751562276	3.44667890694	0.597822018216	[]	[]	[]
8	0	[]	[]	[]	[]	0.402024777284	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.18387823145	[]	[]	[]	[]
8	2	[]	[]	[]	[]	3.3742563248	[]	[]	[]	[]
8	3	[]	[]	[]	[]	2.08644525856	[]	[]	[]	[]
