a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	2.22056500345	[]	[]	[]	[]
1	1	[]	[]	[]	[]	1.80841248415	[]	[]	[]	[]
1	2	[]	[]	[]	[]	3.0173206427	[]	[]	[]	[]
1	3	[]	[]	[]	[]	3.39320118649	[]	[]	[]	[]
2	0	[]	[]	[]	0.767721783895	2.46100185523	1.9668947497	[]	[]	[]
2	1	[]	[]	[]	-0.370534794806	1.79808462634	1.39618868901	[]	[]	[]
2	2	[]	[]	[]	1.61884229955	1.2399239221	1.02244336726	[]	[]	[]
2	3	[]	[]	[]	0.278450697546	-0.781927330712	2.24886272783	[]	[]	[]
3	0	[]	[]	17.70432179	5.35294092818	5.90035001037	2.26156498976	1.85641029581	[]	[]
3	1	[]	[]	14.6941055974	7.43117541915	1.22743493362	1.70735245364	1.82082890623	[]	[]
3	2	[]	[]	2.24657494055	-0.120246880932	0.941571144044	0.878058476338	0.21463649065	[]	[]
3	3	[]	[]	1.85664965594	1.0217798596	0.745895740035	1.12857853501	2.07897115819	[]	[]
4	0	[]	2.36514468573	2.15082741112	0.681430386244	1.45205782084	1.68689164091	1.85295548968	1.78256277652	[]
4	1	[]	1.59428467699	2.14460596045	0.883274043091	0.0956880873111	-0.143407313217	1.38652318908	1.94595187105	[]
4	2	[]	2.79616043179	2.17434835615	1.6070238531	0.996209220999	0.556484925532	2.94476481101	2.06057729791	[]
4	3	[]	3.43995219029	4.094856083	1.13131218736	1.712828238	2.53761215025	4.90371873136	3.12082760818	[]
5	0	[]	[]	24.5612408503	6.76402216845	8.05181078694	2.57216361628	1.92908301511	[]	[]
5	1	[]	[]	20.5580035774	9.79997772033	1.21297737701	1.68795507446	2.09393868148	[]	[]
5	2	[]	[]	2.32817590137	0.174628544664	1.06588782979	0.91996349505	0.525499012352	[]	[]
5	3	[]	[]	1.99297833344	1.1254137944	0.718640837401	1.34408800003	2.12385896454	[]	[]
6	0	[]	[]	[]	0.761731635889	2.38826480011	1.94261614399	[]	[]	[]
6	1	[]	[]	[]	-0.38295354829	1.77501552812	1.37738200358	[]	[]	[]
6	2	[]	[]	[]	1.60480815476	1.23693879441	0.960092480793	[]	[]	[]
6	3	[]	[]	[]	0.114032802564	-1.60586661446	2.2525471106	[]	[]	[]
7	0	[]	[]	[]	[]	2.20403677968	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.79973146502	[]	[]	[]	[]
7	2	[]	[]	[]	[]	3.02679065478	[]	[]	[]	[]
7	3	[]	[]	[]	[]	3.40108842206	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	[]	[]	[]	[]
