a\c	mol	0	1	2	3	4
0	0	[]	[]	0.792541200811	[]	[]
0	1	[]	[]	0.546342630854	[]	[]
0	2	[]	[]	0.695267763917	[]	[]
0	3	[]	[]	0.547996960436	[]	[]
1	0	[]	0.772034070435	0.392637528459	0.757030752921	[]
1	1	[]	0.680454444966	0.26833701692	0.664406395506	[]
1	2	[]	0.638104507162	0.490458255186	0.78089197798	[]
1	3	[]	0.548260139226	0.454648361986	0.696095092828	[]
2	0	0.85760879988	0.655108173321	0.0	0.638174897738	0.846531623663
2	1	0.857150528414	0.664658748534	0.347833853275	0.648756106658	0.84200706029
2	2	0.838658144948	0.502178109349	0.417797642324	0.68016004954	0.860931328075
2	3	0.843558088633	0.592375805172	0.519477618851	0.694322757669	0.862123959346
3	0	[]	0.671253118464	0.261883436232	0.657077008382	[]
3	1	[]	0.775644771883	0.592103901151	0.761351837793	[]
3	2	[]	0.58601533065	0.498665158229	0.70026040088	[]
3	3	[]	0.752828798718	0.648612384129	0.799942292676	[]
4	0	[]	[]	0.633996692773	[]	[]
4	1	[]	[]	0.766244393696	[]	[]
4	2	[]	[]	0.654723001638	[]	[]
4	3	[]	[]	0.791145548583	[]	[]
