b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.6306907299	[]	[]
1	1	[]	[]	0.565593904748	[]	[]
1	2	[]	[]	0.624142998439	[]	[]
1	3	[]	[]	0.633739050982	[]	[]
2	0	[]	0.630849378311	0.630683526788	0.630848399719	[]
2	1	[]	0.565520288748	0.57158112966	0.565388786868	[]
2	2	[]	0.623150794832	0.626733315597	0.623066479667	[]
2	3	[]	0.634734183064	0.63470753636	0.634745810115	[]
3	0	[]	[]	0.630847854915	[]	[]
3	1	[]	[]	0.567924767435	[]	[]
3	2	[]	[]	0.623929460301	[]	[]
3	3	[]	[]	0.635492425819	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
