c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.630848399719	[]	[]
1	1	[]	[]	0.565388786868	[]	[]
1	2	[]	[]	0.623066479667	[]	[]
1	3	[]	[]	0.634745810115	[]	[]
2	0	[]	0.630882308945	0.630812448207	0.630879669727	[]
2	1	[]	0.565406329196	0.565340559915	0.565425592772	[]
2	2	[]	0.623078288397	0.623012158536	0.623082162832	[]
2	3	[]	0.634756907611	0.634697393967	0.634777174701	[]
3	0	[]	[]	0.630856209509	[]	[]
3	1	[]	[]	0.565379264381	[]	[]
3	2	[]	[]	0.62303742024	[]	[]
3	3	[]	[]	0.634729660673	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
