a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.630880167816	[]	[]
1	1	[]	[]	0.565531438428	[]	[]
1	2	[]	[]	0.623154636188	[]	[]
1	3	[]	[]	0.634740166601	[]	[]
2	0	[]	0.6306907299	0.63064229678	0.630857759674	[]
2	1	[]	0.565593904748	0.562931054229	0.562860777765	[]
2	2	[]	0.624142998439	0.622492060383	0.621493141117	[]
2	3	[]	0.633739050982	0.632638539243	0.633754316505	[]
3	0	[]	[]	0.630882308945	[]	[]
3	1	[]	[]	0.565406329196	[]	[]
3	2	[]	[]	0.623078288397	[]	[]
3	3	[]	[]	0.634756907611	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
