c\b	mol	0	1	2	3	4
0	0	[]	[]	0.630872109631	[]	[]
0	1	[]	[]	0.567046307155	[]	[]
0	2	[]	[]	0.624372798573	[]	[]
0	3	[]	[]	0.634780859571	[]	[]
1	0	[]	0.6306907299	0.630683526788	0.630847854915	[]
1	1	[]	0.565593904748	0.57158112966	0.567924767435	[]
1	2	[]	0.624142998439	0.626733315597	0.623929460301	[]
1	3	[]	0.633739050982	0.63470753636	0.635492425819	[]
2	0	0.630867658148	0.63064229678	0.0	0.630640443108	0.630864692786
2	1	0.564899633294	0.562931054229	0.620105819685	0.567366759198	0.566009750492
2	2	0.62306243767	0.622492060383	0.601021503814	0.622566244636	0.623051865939
2	3	0.63426185308	0.632638539243	0.632100430912	0.636077041236	0.635188913227
3	0	[]	0.630857759674	0.630685929371	0.630694919325	[]
3	1	[]	0.562860777765	0.558974803717	0.564992610383	[]
3	2	[]	0.621493141117	0.617430180695	0.621728907505	[]
3	3	[]	0.633754316505	0.634889012284	0.635528591317	[]
4	0	[]	[]	0.630881015286	[]	[]
4	1	[]	[]	0.563904495804	[]	[]
4	2	[]	[]	0.621631118023	[]	[]
4	3	[]	[]	0.634827309197	[]	[]
