b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	1.53782183198	[]	[]
1	1	[]	[]	0.238772943885	[]	[]
1	2	[]	[]	-0.62633819599	[]	[]
1	3	[]	[]	0.404270589906	[]	[]
2	0	[]	0.796578889333	0.376284251427	0.785783284101	[]
2	1	[]	0.252598074198	0.463603715626	0.246591694559	[]
2	2	[]	0.342554966912	0.341043445596	0.378229238208	[]
2	3	[]	0.751966674018	0.791291454024	0.741864282975	[]
3	0	[]	[]	0.18095672666	[]	[]
3	1	[]	[]	-0.444192178892	[]	[]
3	2	[]	[]	0.389582552768	[]	[]
3	3	[]	[]	0.727954193342	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
