a\c	mol	0	1	2	3	4
0	0	[]	[]	1.61274220402	[]	[]
0	1	[]	[]	1.04795786216	[]	[]
0	2	[]	[]	1.14364759489	[]	[]
0	3	[]	[]	1.5575985858	[]	[]
1	0	[]	-0.996847871022	0.918453218153	0.796578889333	[]
1	1	[]	0.993901298949	0.00971730357081	0.252598074198	[]
1	2	[]	0.943760680287	-0.395132422777	0.342554966912	[]
1	3	[]	-1.38409149324	0.861063791557	0.751966674018	[]
2	0	3.08186766809	-0.0419392990868	0.0	0.376284251427	0.999907178965
2	1	0.735602594199	2.75102447909	-0.668944111952	0.463603715626	-0.637058567496
2	2	0.735060843561	1.47265578003	-0.539473175429	0.341043445596	-0.23394688555
2	3	0.273615310096	-0.264980745162	0.588289139361	0.791291454024	0.688339846262
3	0	[]	-1.00234366572	0.90792197338	0.785783284101	[]
3	1	[]	1.01584017555	0.00992025811223	0.246591694559	[]
3	2	[]	1.03297850025	-0.327980100895	0.378229238208	[]
3	3	[]	-1.32824409984	0.856263747639	0.741864282975	[]
4	0	[]	[]	1.60764873887	[]	[]
4	1	[]	[]	1.04755125633	[]	[]
4	2	[]	[]	1.15084409381	[]	[]
4	3	[]	[]	1.55686846205	[]	[]
