
2014 Jan 23 16:32:13	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	0	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:32:34	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	0	[[-0.51598351]]	[[ 1.07598394]]	[[-1.13255532]]	0.332302432834	[[ 1.10426963]]
2014 Jan 23 16:33:19	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	1	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:33:29	Pc_cation_neut_diamond	Pc_mola_cation_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	0	[[-0.79494715]]	[[ 1.02171936]]	[[-0.8155498]]	-0.214500366541	[[ 0.91863458]]
2014 Jan 23 16:33:48	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	1	[[-0.4145727]]	[[ 1.17739475]]	[[-1.03114451]]	-0.0410936039892	[[ 1.10426963]]
2014 Jan 23 16:34:24	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	0	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:34:51	Pc_cation_neut_diamond	Pc_mola_cation_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	1	[[-0.47811716]]	[[ 1.33854935]]	[[-0.49871981]]	-0.313193304358	[[ 0.91863458]]
2014 Jan 23 16:35:03	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	0	[[-0.68704402]]	[[ 0.90492343]]	[[-1.30361584]]	0.527123457535	[[ 1.10426963]]
2014 Jan 23 16:35:30	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	1	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:35:38	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	0	[[-0.51598351]]	[[ 1.07598394]]	[[-1.13255532]]	0.332302432834	[[ 1.10426963]]
2014 Jan 23 16:36:13	Pc_cation_neut_diamond	Pc_mola_cation_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	0	[[-1.1631318]]	[[ 0.65353471]]	[[-1.18373445]]	0.00924913000637	[[ 0.91863458]]
2014 Jan 23 16:36:17	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	1	[[-0.27662222]]	[[ 1.31534523]]	[[-0.89319404]]	0.00504525363282	[[ 1.10426963]]
2014 Jan 23 16:36:36	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	0	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:36:53	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	-1	0	0	1	[[-0.4145727]]	[[ 1.17739475]]	[[-1.03114451]]	-0.0410936039892	[[ 1.10426963]]
2014 Jan 23 16:37:31	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	0	[[-0.28981508]]	[[ 1.30215237]]	[[-0.9063869]]	-0.00324459170131	[[ 1.10426963]]
2014 Jan 23 16:37:35	Pc_cation_neut_diamond	Pc_mola_cation_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	1	[[-0.7238846]]	[[ 1.09278191]]	[[-0.74448725]]	-0.0848975439113	[[ 0.91863458]]
2014 Jan 23 16:37:42	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	1	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:38:09	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	0	[[-0.68704402]]	[[ 0.90492343]]	[[-1.30361584]]	0.527123457535	[[ 1.10426963]]
2014 Jan 23 16:38:46	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	1	[[-0.45215246]]	[[ 1.13981499]]	[[-1.06872428]]	-0.0669542398055	[[ 1.10426963]]
2014 Jan 23 16:38:48	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	0	0	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:38:57	Pc_cation_neut_diamond	Pc_mola_cation_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	0	[[-0.81280379]]	[[ 1.00386272]]	[[-0.83340644]]	-0.339212478232	[[ 0.91863458]]
2014 Jan 23 16:39:24	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	-1	0	1	[[-0.27662222]]	[[ 1.31534523]]	[[-0.89319404]]	0.00504525363282	[[ 1.10426963]]
2014 Jan 23 16:39:54	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	0	1	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
2014 Jan 23 16:40:00	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	0	0	[[-1.59196745]]	[[ 0.]]	[[-2.20853927]]	-0.487697816424	[[ 1.10426963]]
2014 Jan 23 16:40:19	Pc_cation_neut_diamond	Pc_mola_cation_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	1	[[-0.74231492]]	[[ 1.07435159]]	[[-0.76291757]]	-0.158235073681	[[ 0.91863458]]
2014 Jan 23 16:40:39	Pc_anion_neut_diamond	Pc_mola_anion_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	-1	0	[[-0.28981508]]	[[ 1.30215237]]	[[-0.9063869]]	-0.00324459170131	[[ 1.10426963]]
2014 Jan 23 16:41:00	Pc_neut_neut_diamond	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	Pc_mola_neut_aniso_cifstruct_chelpg.xyz	1	0	0	1	0	[[-1.12977475]]	[[ 0.]]	[[-0.79649791]]	-0.731525790289	[[ 0.39824896]]
