
2014 Jan 08 12:03:24	PENCEN_aniso_w_connectivity_cifstruct_chelpg.xyz	PENCEN_aniso_w_connectivity_cifstruct_chelpg.xyz	N/A	0	[[-0.06055817]]	-0.0318687641872	[[-0.05737882]]	[[ 0.02868941]]	-0.645069765608	-0.197674955867	-0.108129427934
2014 Jan 08 12:03:24	PENCEN_cation_aniso_w_connectivity_cifstruct_chelpg.xyz	PENCEN_aniso_w_connectivity_cifstruct_chelpg.xyz	N/A	0	[[-0.42415342]]	-0.197922144575	[[-0.45246255]]	[[ 0.22623128]]	-2.29644764727	-1.47175880128	-0.349872092961
2014 Jan 08 12:03:42	TIPS_Pc_cation_aniso_w_connectivity_cifstruct_mul.xyz	TIPS_Pc_neut_aniso_w_connectivity_cifstruct_mul.xyz	N/A	0	[[ 0.]]	0.0	[[ 0.]]	[[ 0.]]	0.0	0.0	0.0
2014 Jan 08 12:04:47	TIPS_Pc_neut_aniso_w_connectivity_cifstruct_mul.xyz	TIPS_Pc_neut_aniso_w_connectivity_cifstruct_mul.xyz	N/A	0	[[ 0.]]	0.0	[[ 0.]]	[[ 0.]]	0.0	0.0	0.0
2014 Jan 09 08:51:26	PENCEN_cation_aniso_w_connectivity_cifstruct_chelpg.xyz	PENCEN_aniso_w_connectivity_cifstruct_chelpg.xyz	N/A	1	[[-8.55451314]]	-5.61175000271	[[-5.88552628]]	[[ 2.94276314]]	-9.97404106735	-4.25504073322	-1.34693639615
2014 Jan 09 09:04:26	PENCEN_aniso_w_connectivity_cifstruct_chelpg.xyz	PENCEN_aniso_w_connectivity_cifstruct_chelpg.xyz	N/A	1	[[-7.55724163]]	-5.39850112965	[[-4.31748101]]	[[ 2.1587405]]	-8.11320254307	-2.35413514247	-0.968604635153
2014 Jan 10 11:34:14	sexithiophene_mola_cation_aniso_cifstruct_chelpg.xyz	sexithiophene_mola_neut_aniso_cifstruct_chelpg.xyz	N/A	0	[[-0.43306294]]	-0.105400692037	[[-0.6553245]]	[[ 0.32766225]]	1.69990375068	-0.447472199261	-1.72908101052
2014 Jan 10 13:17:47	sexithiophene_mola_cation_aniso_cifstruct_chelpg.xyz	sexithiophene_mola_neut_aniso_cifstruct_chelpg.xyz	N/A	0	[[-0.43306294]]	-0.105400692037	[[-0.6553245]]	[[ 0.32766225]]	1.69990375068	-0.447472199261	-1.72908101052
2014 Jan 10 14:23:49	protontest.xyz	protontest.xyz	N/A	1	[[ 28.7613043]]	28.7723896747	[[-0.02217075]]	[[ 0.01108538]]	0.0	-8.66461954338e-19	3.47115604214e-18
2014 Jan 10 14:25:27	protontest.xyz	protontest.xyz	N/A	2	[[ 304.10543025]]	304.248837361	[[-0.28681422]]	[[ 0.14340711]]	-1.38777878078e-17	-1.14930436617e-17	-6.93336641786e-18
2014 Jan 10 14:26:23	protontest.xyz	protontest.xyz	N/A	3	[[ 1539.00791175]]	1539.79810263	[[-1.58038177]]	[[ 0.79019088]]	-1.97758476261e-16	-2.79767657646e-17	-4.70459237224e-17
