[[-0.00158798 -0.00034223 -0.001492  ]]
[[-0.00089003 -0.00075132 -0.00229192]]
[[-0.02134418 -0.00613833 -0.02187013]]
[[-0.02211317 -0.00421079 -0.00707332]]
[[-0.00657139 -0.00518972 -0.02098254]]
[[-0.01962651  0.00880804 -0.0101031 ]]
[[-0.0198501  -0.00373651 -0.02197903]]
[[ 0.00010856  0.00196719 -0.00814419]]
[[-0.00878348  0.0049602  -0.00090198]]
[[-0.00452221 -0.00109602 -0.00296885]]
[[-0.00161981  0.00659217 -0.00187411]]
[[-0.00393568 -0.00418     0.00156193]]
[[-0.0015401   0.00023892  0.0015546 ]]
[[-0.01181456 -0.0022886  -0.02411978]]
[[-0.00485012  0.00050205 -0.0033233 ]]
[[-0.00127895 -0.00021208 -0.00227687]]
[[-0.05721598 -0.00963095 -0.04866778]]
[[-0.06172385  0.00025973 -0.0004229 ]]
[[-0.07880334 -0.00424046 -0.039201  ]]
[[-0.04661554  0.0079122   0.01193538]]
[[-0.00909039  0.01852258 -0.00440999]]
[[-0.02442573 -0.00687579  0.00763321]]
[[-0.01378211  0.00725428  0.01203747]]
[[-0.0005221  -0.00210667 -0.00144345]]
[[-0.00673615  0.0105223  -0.00403072]]
[[-0.00929746 -0.00876561 -0.00299957]]
[[  2.39326961e-06  -1.48762433e-03  -7.28838215e-04]]
[[ 0.00138473 -0.00093014 -0.00025905]]
[[ 0.00403773 -0.00734647 -0.00402652]]
[[ 0.00787595 -0.00729734 -0.00454607]]
[[ 0.00664928 -0.01421805 -0.01034586]]
[[ 0.01091206 -0.01259447 -0.00083077]]
[[ 0.00086197 -0.01748424  0.00037952]]
[[ -8.69467899e-05  -1.58365918e-03   1.38962444e-03]]
[[ 0.00417146 -0.00634007  0.00110362]]
[[ 0.00011275 -0.00132994  0.0005911 ]]
[[ 0.00282309 -0.00618691  0.00241627]]
[[-0.00399012 -0.00319124  0.00035285]]
[[  2.58001018e-03  -8.06445994e-05  -2.42748643e-03]]
[[ 0.00481336 -0.02460708 -0.00503551]]
[[ 0.00093716 -0.00257124  0.00058394]]
[[ 0.0005417  -0.00228101  0.0009693 ]]
[[-0.0113329  -0.02669668  0.01011247]]
[[-0.02793847 -0.01123934  0.02116049]]
[[-0.01536102 -0.02207323  0.01801729]]
[[-0.02390558  0.00785063  0.03019829]]
[[ 0.00728262 -0.00574153  0.00236727]]
[[-0.00412394 -0.01229704  0.00536643]]
[[-0.00577368  0.00526259  0.00341122]]
[[  1.08271131e-03   3.89309198e-05   9.57440059e-03]]
[[ 0.00025723  0.00806655  0.00715323]]
[[-0.0004775  -0.00312358 -0.00080372]]
[[ 0.00120996  0.00224972 -0.00415331]]
[[-0.0006172   0.00342967 -0.0047931 ]]
[[-0.00441941  0.00151954 -0.02902437]]
[[ 0.0028876   0.00620453 -0.02801406]]
[[-0.00442295  0.05102586 -0.0054733 ]]
[[ 0.01146346  0.01169209 -0.0272934 ]]
[[-0.00815277  0.00743634 -0.03120447]]
[[-0.00105151  0.00250418 -0.01211283]]
[[-0.00240388  0.00317738 -0.00355807]]
[[ 0.00376154  0.00392231 -0.0005021 ]]
[[-0.00449589  0.00868433 -0.00387701]]
[[ 0.00184825  0.00104317 -0.0026281 ]]
[[ 0.00177003 -0.00270346 -0.00133541]]
[[-0.00538725  0.04971359  0.04487003]]
[[-0.00217323  0.00367187  0.00928004]]
[[-0.00043013  0.00699969  0.00899191]]
[[-0.02105787 -0.00554324  0.08235702]]
[[-0.04773915  0.01886797  0.09481111]]
[[-0.01835132 -0.05484279  0.09004664]]
[[-0.05156865  0.0398432   0.102739  ]]
[[-0.00078119 -0.03701068  0.01231108]]
[[-0.02211569 -0.01664655  0.00719032]]
[[-0.01642639  0.01292057  0.00663019]]
[[ 0.01462512 -0.01799532  0.03200968]]
[[-0.00664165  0.02470806  0.0061533 ]]
[[ 0.00556766  0.00832691  0.00664445]]
[[ 0.00344585 -0.00012635 -0.00658154]]
[[ 0.00492594 -0.00047948 -0.00743679]]
[[ 0.02577967  0.01773154 -0.05065574]]
[[ 0.02040368  0.01788372 -0.04687428]]
[[ 0.01188804  0.00654581 -0.0547582 ]]
[[-0.01060562  0.04944071 -0.07274409]]
[[ 0.03102147  0.13434967 -0.07152418]]
[[-0.02013669  0.03070248 -0.03022616]]
[[-0.02122845  0.01844969  0.009431  ]]
[[-0.00462936  0.00565645  0.00881081]]
[[ 0.00419276  0.06206191 -0.02851167]]
[[ 0.05694213  0.02054499 -0.00738773]]
[[ 0.00301548 -0.00859401  0.00169215]]
[[-0.00212567  0.00663166 -0.0082516 ]]
[[-0.00339701  0.00172665  0.00141944]]
[[-0.00384701  0.00228078  0.00230479]]
[[-0.02810147 -0.00867212  0.01737238]]
[[-0.01926451 -0.00341237  0.01933616]]
[[-0.03627815 -0.08295644  0.03019456]]
[[ 0.00260571 -0.0189445   0.03270192]]
[[-0.01190287 -0.03553842  0.01688546]]
[[-0.04097959 -0.01232944  0.00490567]]
[[-0.00458452  0.00482712  0.00015444]]
[[ 0.01644536 -0.01981462  0.00970219]]
[[ 0.01076278 -0.00535425 -0.01075428]]
[[ 0.00285873 -0.0010421  -0.00903608]]
[[ 0.00245169 -0.00326349 -0.0101996 ]]
[[ 0.00054485 -0.00635361 -0.00995772]]
[[ 0.02082963  0.00661549 -0.08651876]]
[[ 0.04569432 -0.01584785 -0.09710681]]
[[ 0.00928236 -0.04573511 -0.06123921]]
[[ 0.04432467 -0.02939246 -0.11119656]]
[[ 0.02063077  0.07039426 -0.09768051]]
[[-0.01533896  0.02065714 -0.03741734]]
[[ 0.00235754 -0.01950073 -0.00644823]]
[[-0.00636832 -0.0076846  -0.00677385]]
[[-0.00097509  0.04315002 -0.01546871]]
[[ 0.0276009   0.0199542  -0.00777824]]
[[ 0.01602749 -0.0137575  -0.00639056]]
[[ 0.00825875 -0.04913592 -0.01458393]]
[[-0.00137138 -0.00222191  0.0022241 ]]
[[ 0.00133937 -0.00319785  0.00302544]]
[[ 0.00444424 -0.00314339  0.01768186]]
[[ 0.00095928 -0.00699778  0.01678541]]
[[ 0.00501907 -0.00687472  0.02085505]]
[[-0.00462523 -0.01081349  0.01786937]]
[[ 0.00344427 -0.00624032  0.00289554]]
[[-0.00162594 -0.00121623  0.00215619]]
[[-0.00093159  0.00184812  0.00071889]]
[[ 0.00050817 -0.00158834  0.00848173]]
[[ 0.00252314 -0.00373548  0.00320473]]
[[-0.00263077 -0.00276526  0.00036782]]
[[-0.00021248  0.00156389 -0.00294576]]
[[ 0.00025057  0.00095114 -0.00330448]]
[[ 0.02229433  0.01861116 -0.01644197]]
[[ 0.04552257  0.00066577 -0.03883756]]
[[ 0.00317574  0.01263697 -0.02132299]]
[[ 0.04468463 -0.04271064 -0.03998475]]
[[ 0.0368439   0.00480696 -0.02276012]]
[[-0.00194422 -0.0005025  -0.00902506]]
[[ 0.0077376  -0.02628797 -0.00667245]]
[[-0.00536891 -0.00015338 -0.0004202 ]]
[[-0.00474683 -0.0021311   0.00262932]]
[[ 0.00684509  0.01293944 -0.00634976]]
[[ 0.01483367 -0.01136316 -0.00940181]]
[[-0.00064041  0.00677668 -0.01498795]]
[[-0.00025855  0.00113852 -0.0011554 ]]
[[-0.00036653  0.00068729 -0.00126144]]
[[-0.00386016  0.00565582 -0.00719455]]
[[-0.00453088  0.00649378 -0.00537041]]
[[-0.00456212  0.02285103 -0.01124817]]
[[-0.00607705  0.01543965 -0.00824153]]
[[-0.00449338  0.01049782 -0.00435895]]
[[ 0.00547721  0.00366398 -0.00069454]]
[[-0.00240568 -0.0007595   0.00245215]]
[[-0.00064101  0.00303606 -0.00512624]]
[[-0.00486053  0.0068192  -0.00110682]]
[[ 0.00075764  0.00265197 -0.00069231]]
[[  3.82433783e-03   5.41907956e-05   1.06098228e-03]]
[[ 0.00163366  0.00017061  0.00063162]]
[[ 0.04167752  0.00650023  0.0262865 ]]
[[ 0.04642502  0.00042302 -0.00605475]]
[[ 0.01320639  0.00089248  0.00049114]]
[[ 0.03640775 -0.00290508 -0.01486623]]
[[ 0.05586391  0.01704228  0.01550619]]
[[-0.00019387  0.00252959 -0.00168069]]
[[ 0.00431145 -0.00679128  0.00283409]]
[[ 0.00740909  0.00720218  0.00218733]]
[[ 0.00290716 -0.00670584 -0.00083115]]
[[ 0.02303332  0.00625125 -0.00706606]]
[[ 0.00970855 -0.00718628 -0.00809529]]
[[ 0.01175045  0.00440882 -0.00328395]]
[[ 0.00177886  0.00020123 -0.00053474]]
[[ 0.00153562  0.001585   -0.00034487]]
[[ 0.03657687  0.00921902  0.02005743]]
[[ 0.04677048  0.0048978  -0.01421621]]
[[ 0.03019499  0.01079494  0.02047314]]
[[ 0.04809487  0.00676909 -0.01221945]]
[[ 0.00094691 -0.00628958  0.00109305]]
[[ 0.00805854  0.00797444 -0.00327975]]
[[ 0.00419148 -0.00145326 -0.00378979]]
[[-0.00023982  0.00111803  0.00057598]]
[[ 0.00788247 -0.00291625 -0.00035906]]
[[ 0.01475072  0.01124344  0.00299299]]
