[[-0.01914668  0.02905625 -0.02324136]]
[[-0.02148515  0.02035882  0.0095715 ]]
[[-0.00645754  0.00324964  0.00878445]]
[[ 0.00586599  0.05856231 -0.02650401]]
[[ 0.05602392  0.02140056 -0.00605676]]
[[ 0.00071678 -0.00659433  0.00354438]]
[[-0.00608118 -0.00567549  0.02091502]]
[[ -3.68964104e-03  -3.60586912e-05   3.31682041e-03]]
[[-0.00343848  0.00059224  0.00427425]]
[[-0.02445237 -0.02220929  0.03008128]]
[[-0.01122274 -0.0208621   0.02611051]]
[[-0.03483912 -0.13503988  0.05203664]]
[[ 0.0248454  -0.04908296  0.0543156 ]]
[[-0.00594549 -0.05864588  0.02654752]]
[[-0.05603812 -0.02141612  0.00605554]]
[[-0.00080197  0.00658395 -0.00350494]]
[[ 0.01913963 -0.0290249   0.02321364]]
[[ 0.0214414  -0.02034742 -0.00956179]]
[[ 0.00646086 -0.00321002 -0.00879428]]
[[ 0.0020169  -0.00493076 -0.00798964]]
[[ 0.0006549  -0.00793101 -0.00772336]]
[[ 0.02354562 -0.00470898 -0.07405263]]
[[ 0.05340666 -0.03139651 -0.09039124]]
[[ 0.00359871 -0.05770607 -0.02729526]]
[[ 0.06592043 -0.05969407 -0.09052715]]
[[ 0.02170961  0.01888844 -0.07646944]]
[[-0.01283858  0.01177117 -0.02436375]]
[[ 0.01342614 -0.03438076 -0.00543719]]
[[-0.0033184  -0.01003583 -0.00644367]]
[[ 0.00515564  0.0205299  -0.00601545]]
[[ 0.01216999  0.01129553 -0.00642315]]
[[ 0.01979903 -0.01183485 -0.01008903]]
[[ 0.00149853 -0.05303502  0.02361505]]
[[-0.00090643 -0.00231638  0.00575186]]
[[-0.00011784 -0.00368784  0.00629733]]
[[ 0.00409802 -0.00058611  0.03833977]]
[[-0.00676108 -0.00578998  0.0376389 ]]
[[ 0.01082573 -0.00764546  0.03928605]]
[[-0.01813757 -0.01198763  0.03466671]]
[[ 0.00530357 -0.01058327  0.00459358]]
[[-0.00186644 -0.00086172  0.00299932]]
[[-0.00245449  0.00336185  0.00180357]]
[[ 0.0015624  -0.00318264  0.01474452]]
[[ 0.00200657 -0.00241213  0.00371477]]
[[-0.00487626 -0.0050263   0.00042593]]
[[-0.00044582  0.00223563 -0.00243482]]
[[-0.00019758  0.00179114 -0.0029247 ]]
[[ 0.01795813  0.02320419 -0.01812704]]
[[ 0.04103303  0.00601915 -0.03696985]]
[[-0.00033637  0.02061572 -0.01306904]]
[[ 0.03954089 -0.03048808 -0.04222934]]
[[ 0.03212825  0.01154928 -0.0267268 ]]
[[-0.00171917 -0.00026699 -0.01159437]]
[[ 0.00507127 -0.02022087 -0.0085132 ]]
[[-0.00330896  0.00120523 -0.00014211]]
[[-0.00647252  0.00121488  0.0008802 ]]
[[ 0.00680315  0.01394702 -0.00682835]]
[[ 0.01319846 -0.01068455 -0.00842494]]
[[-0.00382004  0.01248376 -0.00516798]]
[[-0.00031538  0.00163614 -0.00029572]]
[[-0.00088091  0.00103917 -0.00055779]]
[[-0.00504542  0.00805832 -0.00157733]]
[[ -7.83994523e-03   8.40481311e-03   6.54609814e-06]]
[[-0.00364601  0.02303447 -0.00597102]]
[[-0.01008342  0.01570964 -0.00258302]]
[[-0.00421929  0.00964871 -0.00358438]]
[[ 0.0052308   0.00379267 -0.0004907 ]]
[[-0.00308056 -0.00033392  0.00307051]]
[[-0.00029852  0.00234497 -0.00295336]]
[[-0.0050521   0.00739883 -0.00129823]]
[[ 0.00029873  0.00226606 -0.0005906 ]]
[[ 0.00647939 -0.00024985  0.00155506]]
[[ 0.00207359  0.00012725  0.0011855 ]]
[[ 0.05797395  0.00762086  0.03520779]]
[[  6.32174359e-02  -2.09593322e-05  -5.98935305e-03]]
[[ 0.01931519  0.00116875  0.00939957]]
[[ 0.04850392 -0.00569108 -0.01947446]]
[[ 0.0760701   0.01880308  0.02163968]]
[[-0.00026379  0.00318175 -0.00197227]]
[[ 0.0060342  -0.00976766  0.0039823 ]]
[[ 0.00944094  0.00919128  0.00298155]]
[[ 0.00460704 -0.01097324 -0.00039249]]
[[ 0.02970933  0.00842935 -0.00959744]]
[[ 0.0136297  -0.00963176 -0.01163715]]
[[ 0.01656443  0.00418996  0.00777238]]
[[ 0.0022194   0.00028534  0.00047374]]
[[ 0.00351539  0.00130711  0.00185562]]
