c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
1	0	[]	[]	14.222908522	[]	[]
1	1	[]	[]	14.6871718912	[]	[]
2	0	[]	13.8095672293	4.15582763573	13.3045822381	[]
2	1	[]	13.9584601692	8.75332335042	13.9885962912	[]
3	0	[]	[]	14.0888955184	[]	[]
3	1	[]	[]	14.4539636881	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
