b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.809535839571	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	0.738211500897	0.748082053128	0.777233285008	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	0.771910727976	0.73924841838	0.733882171078	0.741566235258	0.776549563303	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.775339710728	0.749062585279	0.741517310998	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	0.81016501051	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
