a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	0.718642268766	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.617112706331	0.664643033227	0.595038126821	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.684292971012	0.598129806201	0.594190722715	0.577236904457	0.670172265083	[]	[]	[]	[]
4	0	[]	[]	[]	0.73174721964	0.663688776818	0.592604335056	0.491166154824	0.573101971674	0.652504636567	0.727353920936	[]	[]	[]
5	0	[]	[]	0.777233285008	0.706527187546	0.65415216573	0.575766725781	0.331789835277	0.562849230595	0.650942663455	0.70526572745	0.775339710728	[]	[]
6	0	[]	0.851859203119	0.748082053128	0.692262251588	0.632698300435	0.542028787679	0.292220912815	0.546515940861	0.639946850513	0.694194346485	0.749062585279	0.85092834425	[]
7	0	[]	[]	0.738211500897	0.67814619398	0.594569330505	0.504553455204	0.482997115268	0.522762595498	0.611695213585	0.682878398399	0.741517310998	[]	[]
8	0	[]	[]	[]	0.664848271429	0.554293114623	0.462624333793	0.630977006476	0.490797476948	0.578168124106	0.671579207112	[]	[]	[]
9	0	[]	[]	[]	[]	0.532388393024	0.41835813797	0.729488775314	0.462187864605	0.557997386173	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	0.39525989251	0.794580513265	0.451510867004	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	0.819911649202	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
