c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	0.721206391319	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	0.670172265083	0.600349219126	0.532388393024	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	0.657000958789	0.577236904457	0.497402552407	0.41835813797	0.388087454329	[]	[]	[]	[]
6	0	[]	[]	[]	0.668717066321	0.624909028118	0.594190722715	0.663236993346	0.729488775314	0.761981671344	0.794052307757	[]	[]	[]
7	0	[]	[]	[]	[]	0.664188804977	0.598129806201	0.534615158612	0.462187864605	0.402321092783	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.684292971012	0.622118766185	0.557997386173	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	0.728057428535	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
