b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.81016501051	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	0.741517310998	0.749062585279	0.775339710728	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	0.776549563303	0.741566235258	0.733882171078	0.73924841838	0.771910727976	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.777233285008	0.748082053128	0.738211500897	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	0.809535839571	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
