a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	0.799530950084	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.402321092783	0.761981671344	0.388087454329	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.547964256139	0.434946516075	0.706237141827	0.439773783139	0.527221016853	[]	[]	[]	[]
5	0	[]	[]	[]	0.687604049191	0.593738005127	0.489368550642	0.630165729332	0.498001725834	0.577090787125	0.681914209268	[]	[]	[]
6	0	[]	[]	0.81016501051	0.712652886723	0.639503039967	0.548746011921	0.551717854012	0.553370344309	0.629009706764	0.709369132729	0.809535839571	[]	[]
7	0	[]	[]	[]	0.745406423424	0.670922305128	0.592683751247	0.505482678744	0.598950094239	0.668122857004	0.745469446977	[]	[]	[]
8	0	[]	[]	[]	[]	0.701478827923	0.624046849873	0.562221147477	0.631608639311	0.705863548074	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.657000958789	0.624909028118	0.664188804977	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	0.690954454856	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
