a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.796655881616	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	0.510622805905	0.755999702737	0.544420210711	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	0.748582280561	0.597209402902	0.706456115966	0.612493453017	0.736864886274	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.669986116364	0.671882577077	0.678108102232	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	0.696951083032	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
