a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	13.781428061	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	11.8477913518	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	14.0350923902	8.05441578521	13.9893991773	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	13.3629607244	3.34164709953	13.3305589328	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	10.9321349806	5.64445064402	2.97242277743	5.66403577405	11.3020515209	[]	[]	[]	[]
2	1	[]	[]	[]	[]	9.06327464621	2.76793395968	-1.96704377003	2.88360983553	9.50776137291	[]	[]	[]	[]
3	0	[]	[]	[]	11.3401621205	8.89645503742	-6.11001470708	2.35394221779	-5.71835797245	9.30423246773	11.3313296376	[]	[]	[]
3	1	[]	[]	[]	7.9013296535	7.19225409625	-2.27558083561	2.01472834683	-2.05088332112	7.82231044338	7.418950876	[]	[]	[]
4	0	[]	[]	9.6121639281	8.30102178766	10.3542345369	-12.0909550957	2.76188437471	-10.1510216686	10.8317912477	8.12991733534	9.41031181755	[]	[]
4	1	[]	[]	10.1445684376	6.47955230531	4.66024480035	-0.0961211536751	8.80165512606	0.922620609601	5.45216546153	6.06625444254	9.87688756953	[]	[]
5	0	[]	10.4541963655	8.08091335361	9.05643538085	12.213397248	-7.37856077648	1.18350942538	-4.5609293025	12.4729919089	8.95007411061	8.03069642905	10.3837736385	[]
5	1	[]	10.1297935996	6.74190759469	4.42412940926	2.23848612538	6.1862392423	11.6804237527	7.28615331472	2.70165479781	3.46809609611	6.81029998134	10.0556358226	[]
6	0	9.83371846818	9.30462553403	4.90492837126	13.1683723397	11.8779956467	2.30169876351	0.0	4.06030107725	11.8075904061	13.14866887	4.94103563072	9.22489279786	9.77666591203
6	1	9.87274156939	9.43957928731	4.89629471392	6.7223605442	4.31178289765	11.1427397827	12.4111829731	11.3602568168	4.12899462201	6.17073040183	4.98770527838	9.36297043176	9.8179945624
7	0	[]	10.0955479763	6.52670584815	14.4161513153	12.2705615985	10.6238883345	3.21743963613	10.8685918703	12.1798729822	14.2020991161	6.61432156926	10.0158106279	[]
7	1	[]	10.5086771689	8.44299451588	9.43805768412	9.63909873084	12.531491933	11.814051831	12.6326671463	9.21069158915	9.3386047045	8.45251810125	10.4227963899	[]
8	0	[]	[]	10.2980404772	12.0548143913	13.3564492606	13.9105117556	10.0460227276	14.0303317714	13.3232392055	12.0709966448	10.1257274717	[]	[]
8	1	[]	[]	9.5457002996	10.1785162137	11.5266737469	10.5485856933	11.3717615778	11.8907836852	11.2898841974	10.1507782562	9.32823354144	[]	[]
9	0	[]	[]	[]	11.7937962531	11.8515713253	13.1298561401	13.4218770606	13.5571375186	11.7894433715	11.7916469964	[]	[]	[]
9	1	[]	[]	[]	9.31928269104	10.145264368	11.063528119	11.4692849007	12.1232943411	10.2445448158	9.07453963183	[]	[]	[]
10	0	[]	[]	[]	[]	10.9974372094	12.2825598391	12.5141619724	12.2009435724	11.3033719965	[]	[]	[]	[]
10	1	[]	[]	[]	[]	9.34576688883	11.4815604559	11.3123072762	11.2456050043	10.0500774656	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	5.80285146827	11.7567785359	6.74045082858	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	-2.34151884302	9.65285972253	1.05612234588	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	8.57521803043	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	1.38790248642	[]	[]	[]	[]	[]	[]
