b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	9.56620217192	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	9.50502342767	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	9.55379096745	8.87812735654	10.0363883545	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	9.82248387177	8.86303945855	10.820264935	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	4.09606357422	9.43536307272	9.32206141871	9.97044678393	9.86130031046	[]	[]	[]	[]
3	1	[]	[]	[]	[]	7.06419264929	11.245037108	11.4434467031	11.4127925793	7.61699692336	[]	[]	[]	[]
4	0	[]	[]	[]	1.0803168239	8.61402552358	8.60537162265	8.52459160891	8.12343009178	9.24302923848	10.966905264	[]	[]	[]
4	1	[]	[]	[]	1.10944736501	12.7497074532	12.3687719141	10.5495831005	2.60811588458	5.15331181869	13.3177223865	[]	[]	[]
5	0	[]	[]	14.0834764342	-3.68446089866	-31.0103250421	-33.2133941265	-3.4683379738	15.507772565	12.0800778669	12.9446301181	8.55876205164	[]	[]
5	1	[]	[]	10.9325658464	-2.36246854896	-7.95718981649	1.84162366545	12.1898473874	11.4669726541	11.0482657217	13.049567311	0.270203561697	[]	[]
6	0	[]	13.9893991773	5.66403577405	-5.71835797245	-10.1510216686	-4.5609293025	4.06030107725	10.8685918703	14.0303317714	13.5571375186	12.2009435724	6.74045082858	[]
6	1	[]	13.3305589328	2.88360983553	-2.05088332112	0.922620609601	7.28615331472	11.3602568168	12.6326671463	11.8907836852	12.1232943411	11.2456050043	1.05612234588	[]
7	0	[]	[]	14.4131951508	1.39303041213	-14.2859249232	-12.6496137042	3.13606061238	13.9820633457	14.9556916144	13.4436466905	9.84647036514	[]	[]
7	1	[]	[]	12.3829001862	-10.7012174863	-21.4420447205	-0.926653759382	12.9082270618	5.37081418952	6.1628936159	12.9916419866	3.33377670707	[]	[]
8	0	[]	[]	[]	6.10564779417	12.376391215	13.3453266519	8.77096232545	-4.72785650976	-4.26103986343	13.1734545374	[]	[]	[]
8	1	[]	[]	[]	9.85846980049	10.2328283233	11.2321474869	10.3490725425	8.28340638359	9.69229709411	13.5098752404	[]	[]	[]
9	0	[]	[]	[]	[]	12.822836805	6.54917036784	5.63461926921	7.45188822456	11.7165862248	[]	[]	[]	[]
9	1	[]	[]	[]	[]	11.0740613389	5.61919035139	5.16087156102	8.81815304004	13.5522537777	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	10.244553106	9.90664440856	10.3945937438	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	10.3364827849	9.89974420352	11.0905372239	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	10.0941725477	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	10.1050098914	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
