a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	10.3697548145	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	11.4964850552	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	14.3366609772	11.2507818148	14.4131951508	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	12.4684698945	8.19373611343	12.3829001862	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	5.71903139026	-0.415853215291	9.2732428473	1.39303041213	6.50370656849	[]	[]	[]	[]
3	1	[]	[]	[]	[]	3.39976530798	-15.296356696	7.5576017183	-10.7012174863	2.79606780738	[]	[]	[]	[]
4	0	[]	[]	[]	1.13644477962	9.67319951323	-19.9826307563	1.43822735194	-14.2859249232	9.52906209065	-1.50527019061	[]	[]	[]
4	1	[]	[]	[]	5.99711205313	5.25420571187	-29.5000831474	6.31362158674	-21.4420447205	4.41166696216	4.73798477415	[]	[]	[]
5	0	[]	[]	10.3642380007	13.9935686197	11.4957786295	-16.831887015	-8.68918696571	-12.6496137042	11.4648950998	13.8913996753	9.97485667848	[]	[]
5	1	[]	[]	10.0473779259	13.0206526412	4.48450839116	-3.47053772433	5.69913426211	-0.926653759382	3.01696304748	12.8947933218	9.74781531344	[]	[]
6	0	[]	9.75489293173	9.02109808438	17.1101916798	11.8200221935	2.67897327839	-7.76125160554	3.13606061238	11.5877487905	15.3633660252	8.85420921417	9.67535027632	[]
6	1	[]	9.8162749175	9.2415140859	14.0404036035	5.38428840539	12.6959845358	8.4312881234	12.9082270618	5.07774837925	13.3145042136	9.13206037201	9.71930412997	[]
7	0	[]	[]	9.84846196973	15.8708406894	11.8982001174	13.8524571232	5.32530837227	13.9820633457	11.4415453165	15.0377452362	9.93977349662	[]	[]
7	1	[]	[]	10.2939592114	12.3958379355	6.66367527889	1.11664985131	11.5921960074	5.37081418952	7.39634867661	12.4244848288	10.4229177672	[]	[]
8	0	[]	[]	[]	7.92022625074	11.090337505	14.1323747711	13.605627703	14.9556916144	11.3631482659	7.56002662257	[]	[]	[]
8	1	[]	[]	[]	2.43745029789	7.85162217062	2.49097899122	9.1858725763	6.1628936159	8.40328497938	0.992242205605	[]	[]	[]
9	0	[]	[]	[]	[]	9.53522677861	13.3871111194	13.7575830326	13.4436466905	9.51265332903	[]	[]	[]	[]
9	1	[]	[]	[]	[]	8.30412293663	12.8633971437	9.3367618591	12.9916419866	7.58771517125	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	9.34968120014	13.3238936654	9.84647036514	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	1.68942463074	12.3381561144	3.33377670707	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	10.0666488368	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	-0.725981679931	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
