b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	9.65911642172	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	9.57478093423	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	9.56892248312	8.90533230386	10.0850697415	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	9.6303265729	9.0958408065	10.88467661	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	5.94465652859	8.66638507014	8.81741603096	9.49523528271	10.4643366474	[]	[]	[]	[]
3	1	[]	[]	[]	[]	7.6660567747	10.9222672938	11.8626713603	11.0910589723	9.68198115127	[]	[]	[]	[]
4	0	[]	[]	[]	0.515217650311	8.08318841765	8.13692032197	8.83154877943	9.06119098161	9.80465660574	11.30851569	[]	[]	[]
4	1	[]	[]	[]	-0.252785904437	12.7236674935	12.4155085542	10.4843341278	2.20166644927	4.96392064487	13.4021798662	[]	[]	[]
5	0	[]	[]	14.0497265281	-6.22960560924	-38.5264616069	-40.4417506533	-4.84805873312	15.1301466243	8.67543533392	11.3674406583	8.14457619678	[]	[]
5	1	[]	[]	10.7642960626	-5.10060608333	-11.4132774913	0.822199074588	12.3122851304	10.1287386921	9.6793188211	13.0438639758	-1.58235848534	[]	[]
6	0	[]	14.0350923902	5.64445064402	-6.11001470708	-12.0909550957	-7.37856077648	2.30169876351	10.6238883345	13.9105117556	13.1298561401	12.2825598391	5.80285146827	[]
6	1	[]	13.3629607244	2.76793395968	-2.27558083561	-0.0961211536751	6.1862392423	11.1427397827	12.531491933	10.5485856933	11.063528119	11.4815604559	-2.34151884302	[]
7	0	[]	[]	14.3366609772	-0.415853215291	-19.9826307563	-16.831887015	2.67897327839	13.8524571232	14.1323747711	13.3871111194	9.34968120014	[]	[]
7	1	[]	[]	12.4684698945	-15.296356696	-29.5000831474	-3.47053772433	12.6959845358	1.11664985131	2.49097899122	12.8633971437	1.68942463074	[]	[]
8	0	[]	[]	[]	4.84393029712	12.5777742715	13.1060088699	8.32512203923	-8.53625538276	-7.75605726344	13.2409946207	[]	[]	[]
8	1	[]	[]	[]	9.80727209652	10.5853417523	11.5660916874	10.2249993907	7.49144932054	9.34075483799	13.3472897327	[]	[]	[]
9	0	[]	[]	[]	[]	12.881162999	4.99473907896	1.55425477351	5.13435207081	11.9007543857	[]	[]	[]	[]
9	1	[]	[]	[]	[]	11.3017872174	3.7640577438	2.25338185128	8.09880763495	13.5024360557	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	10.1895841369	10.1236080575	10.4607565282	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	10.3737033228	9.99592988068	11.1787392942	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	10.1788986632	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	10.1642468171	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
