c\b	mol	0	1	2
0	0	[]	0.796183129209	[]
0	1	[]	0.741069988322	[]
1	0	0.338635149971	0.0	0.997345303051
1	1	0.83487897005	0.34517617402	0.438218148126
2	0	[]	0.799747397127	[]
2	1	[]	0.816164371626	[]
