a\c	mol	0	1	2	3	4
0	0	[]	[]	1.61273970711	[]	[]
0	1	[]	[]	1.0479536316	[]	[]
0	2	[]	[]	1.14364375433	[]	[]
0	3	[]	[]	1.55759612326	[]	[]
1	0	[]	-0.99684885257	0.918449340918	0.796574100812	[]
1	1	[]	0.993896599161	0.00971256917318	0.252593310223	[]
1	2	[]	0.943755844387	-0.395133819873	0.34255211022	[]
1	3	[]	-1.38408754395	0.861061564314	0.751962249725	[]
2	0	3.08191046171	-0.0419366219919	0.0	0.37628465127	0.999906605642
2	1	0.735603332614	2.75106389165	-0.668947826977	0.463619427756	-0.637062195965
2	2	0.73505540271	1.47265767797	-0.53947569599	0.341042273464	-0.23394763281
2	3	0.273613929921	-0.2649846411	0.588290199848	0.791287950793	0.688335507037
3	0	[]	-1.00234469884	0.907918187738	0.78577852303	[]
3	1	[]	1.01583542343	0.00991544384242	0.246586948253	[]
3	2	[]	1.03297412252	-0.32798199192	0.37822579721	[]
3	3	[]	-1.32824080281	0.856261334759	0.741859493791	[]
4	0	[]	[]	1.60764622784	[]	[]
4	1	[]	[]	1.04754702439	[]	[]
4	2	[]	[]	1.15084027085	[]	[]
4	3	[]	[]	1.55686595045	[]	[]
