a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.80565521115	[]	[]	[]
0	1	[]	[]	[]	2.24099618919	[]	[]	[]
1	0	[]	[]	1.37995142094	1.31628870753	1.43841587069	[]	[]
1	1	[]	[]	1.69380161509	1.42404744273	1.76676480464	[]	[]
2	0	[]	1.47848632413	1.52492084102	0.858785051707	1.60916949209	1.48684761093	[]
2	1	[]	1.71011650448	1.50640183531	1.010902431	1.59345337783	1.73268807301	[]
3	0	1.82158557407	1.61464094269	1.30332974719	0.0	1.31062349922	1.60961643899	1.82113167181
3	1	1.79650617321	1.6002733137	1.36202033504	0.383632018958	1.44444759378	1.60407899393	1.79853609852
4	0	[]	1.66754471548	1.52070060871	1.06336616101	1.42339952747	1.6493675994	[]
4	1	[]	1.36105407756	1.62757335075	0.762394959973	1.57185514919	1.35308737016	[]
5	0	[]	[]	1.53230553225	1.67480077032	1.40338279745	[]	[]
5	1	[]	[]	1.32847303695	1.83027395751	1.22842020361	[]	[]
6	0	[]	[]	[]	2.15437537523	[]	[]	[]
6	1	[]	[]	[]	1.88458541991	[]	[]	[]
