b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.47469638537	[]	[]	[]
0	1	[]	[]	[]	1.48808765875	[]	[]	[]
1	0	[]	[]	1.475587917	1.25678970592	1.32681153757	[]	[]
1	1	[]	[]	1.67990806866	1.58435253101	1.14771773692	[]	[]
2	0	[]	1.4052572012	0.873725009364	0.904687672139	1.29886402782	1.20374978697	[]
2	1	[]	1.25602569409	1.80521067552	1.07542725664	1.34342329896	1.24126748752	[]
3	0	1.80565521115	1.31628870753	0.858785051707	0.0	1.06336616101	1.67480077032	2.15437537523
3	1	2.24099618919	1.42404744273	1.010902431	0.383632018958	0.762394959973	1.83027395751	1.88458541991
4	0	[]	1.07997835419	1.40645773368	0.982088181012	1.30937626992	1.7377922697	[]
4	1	[]	1.27066645873	1.26881214551	0.68291732269	0.798930949581	1.69057747178	[]
5	0	[]	[]	1.29193756151	1.50196518233	1.7284765993	[]	[]
5	1	[]	[]	1.04645431373	1.15336014199	1.37235776422	[]	[]
6	0	[]	[]	[]	1.5272547479	[]	[]	[]
6	1	[]	[]	[]	1.55065836334	[]	[]	[]
