b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.48222091317	[]	[]	[]
1	1	[]	[]	[]	1.42801574587	[]	[]	[]
2	0	[]	[]	1.39167993475	1.3985668238	1.47411298973	[]	[]
2	1	[]	[]	1.54052495954	1.50701749542	1.44490726702	[]	[]
3	0	[]	1.37995142094	1.52492084102	1.30332974719	1.52070060871	1.53230553225	[]
3	1	[]	1.69380161509	1.50640183531	1.36202033504	1.62757335075	1.32847303695	[]
4	0	[]	[]	1.5591389674	1.43932674877	1.81232688881	[]	[]
4	1	[]	[]	1.3914292843	1.39987206583	1.51026830077	[]	[]
5	0	[]	[]	[]	1.43487090037	[]	[]	[]
5	1	[]	[]	[]	1.38894551331	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
