c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.82158557407	[]	[]	[]
0	1	[]	[]	[]	1.79650617321	[]	[]	[]
1	0	[]	[]	1.57310111769	1.61464094269	1.84733658474	[]	[]
1	1	[]	[]	1.70603885014	1.6002733137	1.58301909006	[]	[]
2	0	[]	1.48222091317	1.3985668238	1.30332974719	1.43932674877	1.43487090037	[]
2	1	[]	1.42801574587	1.50701749542	1.36202033504	1.39987206583	1.38894551331	[]
3	0	1.47469638537	1.25678970592	0.904687672139	0.0	0.982088181012	1.50196518233	1.5272547479
3	1	1.48808765875	1.58435253101	1.07542725664	0.383632018958	0.68291732269	1.15336014199	1.55065836334
4	0	[]	1.4896104246	1.39416893367	1.31062349922	1.39724359784	1.38270014451	[]
4	1	[]	1.44278736327	1.55169556639	1.44444759378	1.42735179619	1.39222665171	[]
5	0	[]	[]	1.56720054753	1.60961643899	1.84292647732	[]	[]
5	1	[]	[]	1.70879122571	1.60407899393	1.58520123459	[]	[]
6	0	[]	[]	[]	1.82113167181	[]	[]	[]
6	1	[]	[]	[]	1.79853609852	[]	[]	[]
