a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	2.2615545724	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	2.29530868887	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	2.16102228691	2.06044204089	2.2602045728	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	2.24148959731	2.15900309307	2.31512346734	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	2.21438363405	2.13364591887	1.79720311116	2.20379410277	2.24685346249	[]	[]	[]	[]
4	1	[]	[]	[]	[]	2.33310382845	1.98807983941	1.85235001798	2.05787034252	2.36902195406	[]	[]	[]	[]
5	0	[]	[]	[]	2.22134751072	2.10314973292	2.0626570097	1.54337812765	2.08074856612	2.12706603308	2.23893849003	[]	[]	[]
5	1	[]	[]	[]	1.94808972318	2.1133738264	2.03330467536	1.49346332833	2.08966535216	2.13464700728	1.91610710594	[]	[]	[]
6	0	[]	[]	2.23943761375	2.38750082494	2.0305165115	2.00491305354	1.50204061992	1.96647332087	2.03255678073	2.40786238944	2.23644475594	[]	[]
6	1	[]	[]	2.22069608427	2.17469269278	2.08900146592	1.9757465434	1.37055539093	1.98230936287	2.10419314476	2.17407509673	2.2267520588	[]	[]
7	0	[]	[]	[]	2.34738057747	2.08799580602	2.10739021628	1.82351377289	1.97894811206	2.07640272401	2.31659451675	[]	[]	[]
7	1	[]	[]	[]	2.28137525741	2.0671985456	2.08235406699	1.40837405316	1.98583593716	2.06661834321	2.27102356045	[]	[]	[]
8	0	[]	[]	[]	[]	2.50820066308	2.17358578167	2.06498181729	2.03293701034	2.46405681883	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.28392191027	2.10173289691	1.87460405376	1.97407624964	2.24585682525	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	2.38774677046	2.19927852895	2.19735152813	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	2.23643759125	1.77080198348	2.08661440758	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	2.64412476559	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	2.42567224349	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
