c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	2.22199244896	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	2.5090009713	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	2.23101927875	2.13660802981	2.01044735222	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	2.0601127427	2.17531780826	2.16666210747	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	2.30442402303	2.09651536557	2.00826489136	2.09699533931	2.21438363405	[]	[]	[]	[]
4	1	[]	[]	[]	[]	2.43431599615	2.38651567893	2.11027480594	1.94402232058	2.33310382845	[]	[]	[]	[]
5	0	[]	[]	[]	2.16978197689	2.03758867139	2.02451370427	1.84554738051	1.82685163479	2.13364591887	2.20316885228	[]	[]	[]
5	1	[]	[]	[]	2.20782549974	2.11695682484	2.10480971718	2.01417358178	1.9008480164	1.98807983941	2.23662935996	[]	[]	[]
6	0	[]	[]	2.36281894986	2.21946080372	1.92723087101	1.56965777568	1.29618266804	1.52481903379	1.79720311116	1.91030935665	2.40511901915	[]	[]
6	1	[]	[]	2.45914629712	2.48075132341	2.19700226533	1.65918816527	1.93127635107	1.7392424037	1.85235001798	2.17009394654	2.35243497004	[]	[]
7	0	[]	[]	[]	2.30621445244	2.1511193546	2.16188972503	1.94952275811	1.93209987563	2.20379410277	2.25244236111	[]	[]	[]
7	1	[]	[]	[]	2.32863523501	2.25249923561	2.21573302828	2.10894070209	2.02743928548	2.05787034252	2.29763033308	[]	[]	[]
8	0	[]	[]	[]	[]	2.32123657211	2.13721516368	2.05038511549	2.12630568242	2.24685346249	[]	[]	[]	[]
8	1	[]	[]	[]	[]	2.46480070752	2.40865977249	2.15805505555	1.98981600314	2.36902195406	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	2.25659062372	2.17335952916	2.00250238309	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	2.05218237041	2.21582380337	2.18769280442	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	2.21869748047	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	2.51816969775	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
