b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	2.38042816501	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	2.2155231091	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	2.1784633052	2.16608670773	2.19973373862	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.37666286354	2.25517050283	2.19920487271	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.30621445244	2.02677332865	2.08076576674	2.19767659381	2.13910271229	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.32863523501	2.32516159978	2.05270930908	2.36973038541	2.13878172964	[]	[]	[]	[]
4	0	[]	[]	[]	2.27708596062	2.1511193546	2.08770781428	2.00858628503	2.10374754852	1.99475576066	2.22433083308	[]	[]	[]
4	1	[]	[]	[]	2.48016892424	2.25249923561	2.29945209561	2.09218988454	2.03207103874	2.10563078816	2.13356953944	[]	[]	[]
5	0	[]	[]	2.22304444787	2.12032851178	2.16188972503	2.00042940273	1.98101977744	1.906789374	1.91375477607	1.84470656509	2.01173088563	[]	[]
5	1	[]	[]	2.36028154723	2.31745418212	2.21573302828	2.10783317468	1.95916632332	2.06213897487	2.02076211795	2.04460672891	2.07808733299	[]	[]
6	0	[]	2.1445985167	2.06112042092	2.07496018383	1.94952275811	2.02918767468	2.03861861829	2.06305305489	1.95520565454	1.86091748832	1.85338509963	2.22662523159	[]
6	1	[]	2.23756079133	2.21545817381	2.27182166806	2.10894070209	1.99350500649	2.05294808644	1.92199731574	1.89965233409	1.87773980309	1.61320740115	1.8977828097	[]
7	0	[]	[]	2.22917333943	2.13727203807	1.93209987563	2.01259927316	1.95225888853	1.94928926923	2.01637953585	2.08360248492	2.4103134251	[]	[]
7	1	[]	[]	2.21465181052	2.06057920184	2.02743928548	2.00082467484	1.91473163013	1.95352051272	1.96384401066	2.07035613925	1.99930785838	[]	[]
8	0	[]	[]	[]	2.2602045728	2.20379410277	2.08074856612	1.96647332087	1.97894811206	2.03293701034	2.19735152813	[]	[]	[]
8	1	[]	[]	[]	2.31512346734	2.05787034252	2.08966535216	1.98230936287	1.98583593716	1.97407624964	2.08661440758	[]	[]	[]
9	0	[]	[]	[]	[]	2.25244236111	2.05085143027	1.9809826989	2.11139395308	2.37607894088	[]	[]	[]	[]
9	1	[]	[]	[]	[]	2.29763033308	2.14956136482	2.16844880836	2.10523546296	2.11145105515	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.14975919201	1.96385578824	2.26902739732	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	2.12504749093	1.99021930204	2.09210723978	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	2.09832882583	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	1.92671855899	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
