b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	3.51130382807	[]	[]	[]	[]
0	1	[]	[]	[]	[]	3.75156385357	[]	[]	[]	[]
1	0	[]	[]	[]	4.31483586109	2.93971164523	3.69264113773	[]	[]	[]
1	1	[]	[]	[]	4.01044811192	3.02779343501	4.09791542965	[]	[]	[]
2	0	[]	[]	2.11175156648	2.6959416944	0.630251363009	1.76237384632	3.04447343925	[]	[]
2	1	[]	[]	3.10777936071	2.13426304129	0.738502476992	3.17436574818	0.787975968114	[]	[]
3	0	[]	3.46880152544	2.69742810418	2.16339095212	2.06543896099	1.52099864195	1.68630793835	2.94303963411	[]
3	1	[]	3.92037373419	2.92194709912	2.89588746612	3.23188578083	2.99827879836	2.91168597087	3.65073921542	[]
4	0	4.12236734607	4.10434032658	5.05752208604	3.10515961524	0.0	1.16267317315	3.66316184359	3.69347860666	3.97128444097
4	1	4.26467223583	4.83778613093	6.21958836111	4.83809268669	3.7621414156	4.56405986442	4.37236250697	3.45789436017	4.89193804658
5	0	[]	5.11614604136	3.17960697512	2.03202419823	1.02170622583	0.87913992202	2.5547092074	4.45019320474	[]
5	1	[]	5.08586591571	4.01850319722	4.66268336302	4.67814694797	3.60244047153	3.7243882184	4.75946520089	[]
6	0	[]	[]	4.94530898433	1.39110383853	-3.78151637349	-1.23723890975	4.88127735871	[]	[]
6	1	[]	[]	5.21308199473	0.521973631995	-2.21537275769	1.97472962674	5.02902527911	[]	[]
7	0	[]	[]	[]	4.97756423947	3.93536338183	4.20547555283	[]	[]	[]
7	1	[]	[]	[]	4.69142016825	3.91118887546	4.66997135426	[]	[]	[]
8	0	[]	[]	[]	[]	4.10548588229	[]	[]	[]	[]
8	1	[]	[]	[]	[]	4.31372385887	[]	[]	[]	[]
