a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	4.97756423947	[]	[]	[]	[]
3	1	[]	[]	[]	[]	4.69142016825	[]	[]	[]	[]
4	0	[]	[]	[]	4.09823495961	3.93536338183	4.09638958006	[]	[]	[]
4	1	[]	[]	[]	4.27212657609	3.91118887546	4.3264867323	[]	[]	[]
5	0	[]	[]	[]	[]	4.20547555283	[]	[]	[]	[]
5	1	[]	[]	[]	[]	4.66997135426	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
