b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	3.78633140154	[]	[]	[]	[]
2	1	[]	[]	[]	[]	3.7909534207	[]	[]	[]	[]
3	0	[]	[]	[]	4.45319890048	3.30096769817	4.05062792944	[]	[]	[]
3	1	[]	[]	[]	4.07466856016	3.34775806964	4.44715011657	[]	[]	[]
4	0	[]	[]	3.62483351607	2.38701117764	-0.57395792915	1.00564722438	4.13266306816	[]	[]
4	1	[]	[]	4.25322966081	0.828615071259	-0.995306866897	2.45280731573	3.23797006223	[]	[]
5	0	[]	[]	[]	4.6519188968	3.50172303894	4.12908186371	[]	[]	[]
5	1	[]	[]	[]	4.35350268051	3.53460267068	4.55034459449	[]	[]	[]
6	0	[]	[]	[]	[]	4.04842474776	[]	[]	[]	[]
6	1	[]	[]	[]	[]	4.06832541563	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
