b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	3.52927565144	[]	[]	[]	[]
1	1	[]	[]	[]	[]	3.73901045724	[]	[]	[]	[]
2	0	[]	[]	[]	4.44811574511	3.07599266065	3.78840483082	[]	[]	[]
2	1	[]	[]	[]	4.49288086088	2.95560064818	4.22127561658	[]	[]	[]
3	0	[]	[]	3.48377325294	4.93812709181	6.90176426259	5.18790453597	3.38122335099	[]	[]
3	1	[]	[]	3.47360123801	9.53793059349	13.2917992006	6.43607336172	3.78421273006	[]	[]
4	0	[]	4.01832226618	3.54669255146	2.95634457365	3.10604745735	3.29199701697	2.61305876963	3.62114693911	[]
4	1	[]	5.1789843267	4.3418468507	5.99357042994	4.82976019941	2.83352145003	3.00867261624	4.79956240827	[]
5	0	[]	[]	9.2321836271	3.20817103313	6.06804098462	4.19277459199	5.08744859964	[]	[]
5	1	[]	[]	6.20170351626	2.08189262363	2.44797667589	2.52355607235	8.57421973883	[]	[]
6	0	[]	[]	[]	4.9077327033	4.13078282163	4.03348467912	[]	[]	[]
6	1	[]	[]	[]	4.6966918468	3.84139976578	4.51038651484	[]	[]	[]
7	0	[]	[]	[]	[]	4.09638958006	[]	[]	[]	[]
7	1	[]	[]	[]	[]	4.3264867323	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
