c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	3.54904973168	[]	[]	[]	[]
2	1	[]	[]	[]	[]	4.17044965097	[]	[]	[]	[]
3	0	[]	[]	[]	3.60432298546	3.50594490642	9.2660359975	[]	[]	[]
3	1	[]	[]	[]	3.4779642736	4.29945954949	6.15378537066	[]	[]	[]
4	0	[]	[]	2.11175156648	2.69742810418	5.05752208604	3.17960697512	4.94530898433	[]	[]
4	1	[]	[]	3.10777936071	2.92194709912	6.21958836111	4.01850319722	5.21308199473	[]	[]
5	0	[]	[]	[]	3.48377325294	3.54669255146	9.2321836271	[]	[]	[]
5	1	[]	[]	[]	3.47360123801	4.3418468507	6.20170351626	[]	[]	[]
6	0	[]	[]	[]	[]	3.62483351607	[]	[]	[]	[]
6	1	[]	[]	[]	[]	4.25322966081	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
