a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	3.46880152544	[]	[]	[]	[]
1	1	[]	[]	[]	[]	3.92037373419	[]	[]	[]	[]
2	0	[]	[]	[]	3.60432298546	2.69742810418	3.48377325294	[]	[]	[]
2	1	[]	[]	[]	3.4779642736	2.92194709912	3.47360123801	[]	[]	[]
3	0	[]	[]	4.49701910419	4.93137890065	2.16339095212	4.93812709181	4.45319890048	[]	[]
3	1	[]	[]	4.11369066304	9.63241425045	2.89588746612	9.53793059349	4.07466856016	[]	[]
4	0	[]	3.84413178651	3.27768595835	7.03041449026	2.06543896099	6.90176426259	3.30096769817	3.86166370398	[]
4	1	[]	3.88469837076	3.32206001117	13.5414128162	3.23188578083	13.2917992006	3.34775806964	3.89718009277	[]
5	0	[]	[]	3.98548568252	5.22010257758	1.52099864195	5.18790453597	4.05062792944	[]	[]
5	1	[]	[]	4.3648345615	6.4684431929	2.99827879836	6.43607336172	4.44715011657	[]	[]
6	0	[]	[]	[]	3.40431003615	1.68630793835	3.38122335099	[]	[]	[]
6	1	[]	[]	[]	3.91735140824	2.91168597087	3.78421273006	[]	[]	[]
7	0	[]	[]	[]	[]	2.94303963411	[]	[]	[]	[]
7	1	[]	[]	[]	[]	3.65073921542	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
