a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.11175156648	[]	[]	[]	[]
2	1	[]	[]	[]	[]	3.10777936071	[]	[]	[]	[]
3	0	[]	[]	[]	4.4428665356	2.6959416944	4.44811574511	[]	[]	[]
3	1	[]	[]	[]	4.47783878373	2.13426304129	4.49288086088	[]	[]	[]
4	0	[]	[]	3.73306470226	3.04964817708	0.630251363009	3.07599266065	3.78633140154	[]	[]
4	1	[]	[]	3.79584212465	2.95348843936	0.738502476992	2.95560064818	3.7909534207	[]	[]
5	0	[]	[]	[]	3.74931229791	1.76237384632	3.78840483082	[]	[]	[]
5	1	[]	[]	[]	4.18896703203	3.17436574818	4.22127561658	[]	[]	[]
6	0	[]	[]	[]	[]	3.04447343925	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.787975968114	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
