a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	5.11614604136	[]	[]	[]	[]
1	1	[]	[]	[]	[]	5.08586591571	[]	[]	[]	[]
2	0	[]	[]	[]	9.2660359975	3.17960697512	9.2321836271	[]	[]	[]
2	1	[]	[]	[]	6.15378537066	4.01850319722	6.20170351626	[]	[]	[]
3	0	[]	[]	4.53956206285	3.30790008279	2.03202419823	3.20817103313	4.6519188968	[]	[]
3	1	[]	[]	4.27314881585	2.18358874873	4.66268336302	2.08189262363	4.35350268051	[]	[]
4	0	[]	3.9624703739	3.46905112217	6.56788213927	1.02170622583	6.06804098462	3.50172303894	3.97443636438	[]
4	1	[]	3.93763859298	3.51365415015	2.68160375458	4.67814694797	2.44797667589	3.53460267068	3.9605229774	[]
5	0	[]	[]	4.17141416189	4.55370509528	0.87913992202	4.19277459199	4.12908186371	[]	[]
5	1	[]	[]	4.60374703951	2.60350434934	3.60244047153	2.52355607235	4.55034459449	[]	[]
6	0	[]	[]	[]	5.05137344555	2.5547092074	5.08744859964	[]	[]	[]
6	1	[]	[]	[]	8.53773793135	3.7243882184	8.57421973883	[]	[]	[]
7	0	[]	[]	[]	[]	4.45019320474	[]	[]	[]	[]
7	1	[]	[]	[]	[]	4.75946520089	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
