c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	3.9666472883	[]	[]	[]	[]
3	1	[]	[]	[]	[]	5.11075710736	[]	[]	[]	[]
4	0	[]	[]	[]	3.46880152544	4.10434032658	5.11614604136	[]	[]	[]
4	1	[]	[]	[]	3.92037373419	4.83778613093	5.08586591571	[]	[]	[]
5	0	[]	[]	[]	[]	4.01832226618	[]	[]	[]	[]
5	1	[]	[]	[]	[]	5.1789843267	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
