b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	3.86166370398	[]	[]	[]	[]
3	1	[]	[]	[]	[]	3.89718009277	[]	[]	[]	[]
4	0	[]	[]	[]	4.55559516348	3.42751884467	4.1351366909	[]	[]	[]
4	1	[]	[]	[]	4.26081475737	3.47558060525	4.53450881959	[]	[]	[]
5	0	[]	[]	[]	[]	3.97443636438	[]	[]	[]	[]
5	1	[]	[]	[]	[]	3.9605229774	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
