b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	3.73306470226	[]	[]	[]	[]
2	1	[]	[]	[]	[]	3.79584212465	[]	[]	[]	[]
3	0	[]	[]	[]	4.49701910419	3.27768595835	3.98548568252	[]	[]	[]
3	1	[]	[]	[]	4.11369066304	3.32206001117	4.3648345615	[]	[]	[]
4	0	[]	[]	3.54904973168	2.38773310563	-0.547588613865	1.03473938123	4.09943215341	[]	[]
4	1	[]	[]	4.17044965097	0.858884185921	-0.974945083853	2.44720787441	3.22328914896	[]	[]
5	0	[]	[]	[]	4.53956206285	3.46905112217	4.17141416189	[]	[]	[]
5	1	[]	[]	[]	4.27314881585	3.51365415015	4.60374703951	[]	[]	[]
6	0	[]	[]	[]	[]	4.05050122313	[]	[]	[]	[]
6	1	[]	[]	[]	[]	4.00273482881	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
