a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	4.31483586109	[]	[]	[]	[]
3	1	[]	[]	[]	[]	4.01044811192	[]	[]	[]	[]
4	0	[]	[]	[]	3.4910821626	2.93971164523	3.52927565144	[]	[]	[]
4	1	[]	[]	[]	3.73764235503	3.02779343501	3.73901045724	[]	[]	[]
5	0	[]	[]	[]	[]	3.69264113773	[]	[]	[]	[]
5	1	[]	[]	[]	[]	4.09791542965	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
