b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	0.757646020475	[]	[]	[]	[]
0	1	[]	[]	[]	[]	0.680514963388	[]	[]	[]	[]
1	0	[]	[]	[]	0.649273255604	0.617313014197	0.596872812977	[]	[]	[]
1	1	[]	[]	[]	0.591231579495	0.584993011658	0.614286611272	[]	[]	[]
2	0	[]	[]	0.591041656284	0.558830036604	0.543353569399	0.545416956678	0.557914558784	[]	[]
2	1	[]	[]	0.534099350465	0.526535218653	0.530236448474	0.555738027725	0.603872284663	[]	[]
3	0	[]	0.559874797282	0.506454240988	0.445780290969	0.452693063652	0.468793241152	0.512672438298	0.550239193171	[]
3	1	[]	0.492050184646	0.36392860585	0.276312681995	0.371903247281	0.495659916864	0.56319085114	0.624360946335	[]
4	0	0.636501805249	0.575045243677	0.473787341486	0.232641907409	0.0	0.230134241505	0.466525234699	0.540970022089	0.583207357376
4	1	0.597463405317	0.518554104772	0.399727529893	0.276895502921	0.334423450529	0.458026135655	0.523969842785	0.589331027122	0.652228480371
5	0	[]	0.567355285892	0.515676262274	0.468582081693	0.450084313565	0.439165180777	0.476872099933	0.51170699081	[]
5	1	[]	0.568438184606	0.531636531591	0.515896508669	0.503200104961	0.521646659249	0.568574439629	0.630998130964	[]
6	0	[]	[]	0.567826185014	0.543060874998	0.534280023655	0.525186166204	0.532799144822	[]	[]
6	1	[]	[]	0.579501381448	0.56136256122	0.556345930358	0.585260862668	0.637732587582	[]	[]
7	0	[]	[]	[]	0.599921888874	0.581948718266	0.580962777012	[]	[]	[]
7	1	[]	[]	[]	0.607029068445	0.621495568352	0.667450781055	[]	[]	[]
8	0	[]	[]	[]	[]	0.680494446309	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.756769199314	[]	[]	[]	[]
