c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	0.767511263021	[]	[]	[]	[]
0	1	[]	[]	[]	[]	0.767113049479	[]	[]	[]	[]
1	0	[]	[]	[]	0.754812198007	0.625827671519	0.684052962177	[]	[]	[]
1	1	[]	[]	[]	0.681576409471	0.631225118863	0.75472196082	[]	[]	[]
2	0	[]	[]	0.749576697104	0.607611875579	0.552935015166	0.577068185837	0.670678485179	[]	[]
2	1	[]	[]	0.667546624108	0.579135160009	0.5630370169	0.614313058961	0.750171221664	[]	[]
3	0	[]	0.750125276193	0.600484866669	0.524196509857	0.491674377254	0.516292314507	0.566255794054	0.670979677403	[]
3	1	[]	0.667109609212	0.564084563032	0.519912052644	0.511881942658	0.542919051306	0.610566356222	0.75117837014	[]
4	0	0.757646020475	0.617313014197	0.543353569399	0.452693063652	0.0	0.450084313565	0.534280023655	0.581948718266	0.680494446309
4	1	0.680514963388	0.584993011658	0.530236448474	0.371903247281	0.334423450529	0.503200104961	0.556345930358	0.621495568352	0.756769199314
5	0	[]	0.749343764326	0.599474222942	0.523449799422	0.49166666685	0.517482640794	0.56769979099	0.672231847171	[]
5	1	[]	0.666168950708	0.563259443112	0.519363631363	0.511629447343	0.543755878035	0.611727196706	0.751844535176	[]
6	0	[]	[]	0.749090250031	0.607280217887	0.552937719117	0.577494597283	0.671357759791	[]	[]
6	1	[]	[]	0.667054484473	0.578936604654	0.563004802725	0.614694573468	0.750589427545	[]	[]
7	0	[]	[]	[]	0.754670586084	0.625768578095	0.684148121968	[]	[]	[]
7	1	[]	[]	[]	0.681365468091	0.631115904544	0.754695445814	[]	[]	[]
8	0	[]	[]	[]	[]	0.767475126716	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.766967447643	[]	[]	[]	[]
