a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.14759268142	[]	[]	[]
1	1	[]	[]	[]	0.801065932585	[]	[]	[]
2	0	[]	[]	1.13041939651	1.04531213136	1.14177867016	[]	[]
2	1	[]	[]	1.58296655772	0.695361915172	1.60031663648	[]	[]
3	0	[]	1.9330033121	1.659903519	0.21439057969	1.67564561857	1.93390591672	[]
3	1	[]	1.41628857856	1.11599957592	0.142509192193	1.12236118768	1.4169274693	[]
4	0	[]	[]	1.81532809985	0.891047825029	1.82857794871	[]	[]
4	1	[]	[]	1.49076827462	0.601077376694	1.50087821308	[]	[]
5	0	[]	[]	[]	0.536691938228	[]	[]	[]
5	1	[]	[]	[]	0.69917844607	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
