c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	3.09215866189	[]	[]	[]
2	1	[]	[]	[]	1.77192690711	[]	[]	[]
3	0	[]	[]	1.14759268142	1.52309490603	0.802265990701	[]	[]
3	1	[]	[]	0.801065932585	1.14962753109	0.331924098887	[]	[]
4	0	[]	[]	[]	3.07511578279	[]	[]	[]
4	1	[]	[]	[]	1.76832287436	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
