c\b	mol	0	1	2
0	0	[]	0.432145481529	[]
0	1	[]	0.435235380377	[]
1	0	0.400544873382	0.0	0.411182394785
1	1	0.308524360973	0.227550269541	0.455472008048
2	0	[]	0.431723773458	[]
2	1	[]	0.435739705578	[]
