b\a	mol	0	1	2
0	0	[]	0.400544873382	[]
0	1	[]	0.308524360973	[]
1	0	0.257301452189	0.0	0.177375549289
1	1	0.182072892518	0.227550269541	0.377484117952
2	0	[]	0.411182394785	[]
2	1	[]	0.455472008048	[]
