b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.74770540474	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.678492783713	0.68500352993	0.711124050415	[]	[]	[]	[]
5	0	[]	[]	[]	0.713766139483	0.67749411871	0.668864839561	0.67414475649	0.707663390944	[]	[]	[]
6	0	[]	[]	[]	[]	0.712953401271	0.683088664411	0.67333130635	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.745298097281	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
