c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.663206377519	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.375719842916	0.507013252653	0.60517914908	[]	[]	[]	[]
5	0	[]	[]	[]	-0.400170257686	-0.142798498663	0.212384028433	0.428796947103	0.593020171749	[]	[]	[]
6	0	[]	[]	[]	[]	0.336098606409	0.466055141444	0.578906204096	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.654139902976	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
