a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.593020171749	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.628176165028	0.546276526337	0.620493533297	[]	[]	[]	[]
4	0	[]	[]	[]	0.675337877195	0.574060262107	0.445304502796	0.577481132096	0.67632002791	[]	[]	[]
5	0	[]	[]	0.745298097281	0.637438543229	0.507120066897	0.319856603364	0.521506102147	0.64392126798	0.74770540474	[]	[]
6	0	[]	[]	[]	0.610452310049	0.412909997944	0.0807047387355	0.427612457887	0.620763989501	[]	[]	[]
7	0	[]	[]	[]	[]	0.320783834024	-0.200255282691	0.334528575758	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	-0.400170257686	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
