c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.654139902976	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.578906204096	0.466055141444	0.336098606409	[]	[]	[]	[]
5	0	[]	[]	[]	0.593020171749	0.428796947103	0.212384028433	-0.142798498663	-0.400170257686	[]	[]	[]
6	0	[]	[]	[]	[]	0.60517914908	0.507013252653	0.375719842916	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.663206377519	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
