a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	0.603464699694	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.626997543404	0.488041369575	0.637937133937	[]	[]	[]	[]
5	0	[]	[]	[]	0.710537014852	0.554216739031	0.349069423931	0.568018649517	0.718384023971	[]	[]	[]
6	0	[]	[]	[]	[]	0.458263855523	0.0989467577248	0.464956466615	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	-0.187972355623	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
