b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.658554677408	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.458263855523	0.554216739031	0.626997543404	[]	[]	[]	[]
3	0	[]	[]	[]	0.320783834024	0.412909997944	0.507120066897	0.574060262107	0.628176165028	[]	[]	[]
4	0	[]	[]	0.336098606409	0.359433760581	0.42509511543	0.497239731413	0.547962997292	0.574846673099	0.60517914908	[]	[]
5	0	[]	0.532470239775	0.466055141444	0.462414600275	0.484857841876	0.50882339639	0.516586089965	0.505411567122	0.507013252653	0.555701871123	[]
6	0	[]	[]	0.578906204096	0.548590936731	0.535665704288	0.511581730195	0.458854447002	0.399999399162	0.375719842916	[]	[]
7	0	[]	[]	[]	0.620493533297	0.577481132096	0.521506102147	0.427612457887	0.334528575758	[]	[]	[]
8	0	[]	[]	[]	[]	0.637937133937	0.568018649517	0.464956466615	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.675826891175	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
