c\b	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0742092209429	[]
1	1	[]	0.0431809856909	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
