a\c	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0892474039175	[]
1	1	[]	0.0519334337503	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
